,star,before_transit_avg_k,during_transit_avg_k,after_transit_avg_k,non_transit_avg_k
0,OGLE-TR-1001,5.751412429378531,6.298295454545454,6.064628063326827,5.908020246352679
1,OGLE-TR-1002,5.512605042016807,5.933962264150943,6.2640472592389065,5.888326150627856
2,OGLE-TR-1003,6.767025089605735,5.936348408710217,6.275577087489313,6.521301088547524
3,OGLE-TR-1004,5.483870967741935,5.747572815533981,6.09162739118381,5.787749179462873
4,OGLE-TR-1005,5.867724867724868,6.4110344827586205,6.306621219812894,6.087173043768881
5,OGLE-TR-1006,5.894977168949771,6.304347826086956,6.225317012387305,6.060147090668538
6,OGLE-TR-1007,5.642691415313225,6.0332906530089625,5.985809246396295,5.81425033085476
7,OGLE-TR-1008,5.170731707317073,5.485148514851486,6.314663664508866,5.74269768591297
8,OGLE-TR-1009,5.402597402597403,6.033898305084746,6.179135068661611,5.790866235629506
9,OGLE-TR-1010,5.820668693009119,6.042687747035573,6.118205554236885,5.969437123623003
10,OGLE-TR-1011,5.216216216216216,5.66542750929368,6.254784110535406,5.735500163375811
11,OGLE-TR-1012,5.582089552238806,5.863708399366086,6.267669620913086,5.924879586575946
12,OGLE-TR-1013,5.123287671232877,5.178082191780822,6.366782953690403,5.74503531246164
13,OGLE-TR-1014,6.865248226950355,6.643051771117166,6.734657039711191,6.799952633330773
14,OGLE-TR-1015,5.829787234042553,5.746898263027295,6.2204293531640245,6.025108293603289
15,OGLE-TR-1016,5.793696275071634,6.036036036036036,6.2803211108700365,6.037008692970835
16,OGLE-TR-1017,5.982456140350878,6.250980392156863,6.107826086956522,6.0451411136537
17,OGLE-TR-1018,5.816793893129771,6.199677938808374,6.288512179065174,6.052653036097473
18,OGLE-TR-1019,5.5625,5.838150289017341,6.125718818163792,5.844109409081896
19,OGLE-TR-1020,3.793103448275862,5.856209150326797,6.109517074156395,4.951310261216129
20,OGLE-TR-1021,5.0256410256410255,8.17283950617284,6.224853228962818,5.625247127301922
21,OGLE-TR-1022,5.761702127659574,6.010050251256281,6.159219311761684,5.960460719710629
22,OGLE-TR-1023,5.878787878787879,6.447916666666667,6.242508710801394,6.060648294794636
23,OGLE-TR-1024,6.053949903660886,6.332361516034985,6.345572354211663,6.199761128936275
24,OGLE-TR-1025,5.52,5.980769230769231,6.217159577803323,5.868579788901661
25,OGLE-TR-1026,6.032710280373832,6.072176949941793,6.345124917090427,6.18891759873213
26,OGLE-TR-1027,5.994910941475827,6.033462033462033,6.297276504077551,6.146093722776689
27,OGLE-TR-1028,5.95925597874225,5.901697944593387,6.0161558564979805,5.987705917620115
28,OGLE-TR-1029,5.887096774193548,6.271570014144271,6.196855135496822,6.041975954845185
29,OGLE-TR-1030,5.615384615384615,6.233128834355829,6.412170145726664,6.01377738055564
30,OGLE-TR-1031,5.62,5.846534653465347,6.141779788838613,5.880889894419306
31,OGLE-TR-1032,5.594405594405594,6.359375,6.178987545198875,5.886696569802234
