Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,1.1559549859751375,-15.470391304347826,3,0.3333333333333333
1,1.1760548779751243,-15.475473684210526,2,1.0
2,1.1961547699751112,-15.46990909090909,6,0.26666666666666666
3,1.216254661975098,-15.473090909090907,2,1.0
4,1.2363545539750849,-15.471571428571432,5,0.5
5,1.2564544459750717,-15.473652173913043,3,1.0
6,1.2765543379750586,-15.474153846153845,3,1.0
7,1.2966542299750454,-15.469736842105267,7,0.3333333333333333
8,1.3167541219750323,-15.473214285714286,2,1.0
9,1.3368540139750191,-15.470076923076924,3,0.6666666666666666
10,1.356953905975006,-15.46842105263158,8,0.35714285714285715
11,1.3770537979749928,-15.470500000000001,3,1.0
12,1.3971536899749788,-15.470466666666665,7,0.7142857142857143
13,1.4172535819749648,-15.4725,5,1.0
14,1.4373534739749516,-15.472823529411766,5,1.0
15,1.4574533659749385,-15.47294117647059,6,0.8666666666666667
16,1.4775532579749253,-15.472588235294117,6,0.8666666666666667
17,1.4976531499749122,-15.467846153846155,13,0.3333333333333333
18,1.517753041974899,-15.468647058823528,7,0.7619047619047619
19,1.5378529339748859,-15.469869565217392,8,0.5
20,1.5579528259748727,-15.473818181818183,3,1.0
21,1.5780527179748596,-15.47288888888889,3,1.0
22,1.5981526099748464,-15.471210526315788,7,0.42857142857142855
23,1.6182525019748333,-15.473722222222225,2,1.0
24,1.6383523939748201,-15.470190476190474,9,0.4444444444444444
25,1.658452285974807,-15.471846153846153,3,1.0
26,1.6785521779747938,-15.471714285714286,5,0.6
27,1.6986520699747807,-15.473434782608694,3,1.0
28,1.7187519619747675,-15.473363636363636,3,1.0
29,1.7388518539747544,-15.468928571428572,14,0.31868131868131866
30,1.7589517459747412,-15.471625000000001,6,0.7333333333333333
31,1.779051637974728,-15.472933333333334,4,1.0
32,1.799151529974715,-15.472125,5,0.9
33,1.8192514219747018,-15.472076923076923,4,1.0
34,1.8393513139746887,-15.467866666666668,9,0.5277777777777778
35,1.8594512059746755,-15.466857142857142,27,0.1908831908831909
36,1.8795510979746624,-15.472315789473686,4,1.0
37,1.8996509899746492,-15.472399999999999,4,1.0
38,1.919750881974636,-15.472230769230768,5,0.8
39,1.939850773974623,-15.472571428571428,3,1.0
40,1.9599506659746089,-15.470312499999999,9,0.4166666666666667
41,1.9800505579745948,-15.471375,2,1.0
42,2.0001504499745817,-15.470666666666668,7,0.5238095238095238
43,2.0202503419745685,-15.47231818181818,2,1.0
44,2.0403502339745554,-15.47118181818182,6,0.5333333333333333
45,2.0604501259745422,-15.475285714285713,2,1.0
46,2.080550017974529,-15.470333333333334,7,0.5238095238095238
47,2.100649909974516,-15.471800000000002,3,0.6666666666666666
48,2.120749801974503,-15.474038461538461,2,1.0
49,2.1408496939744897,-15.468941176470587,11,0.2909090909090909
50,2.1609495859744765,-15.475083333333332,3,1.0
51,2.1810494779744634,-15.4741875,3,1.0
52,2.20114936997445,-15.4694347826087,6,0.4666666666666667
53,2.221249261974437,-15.46990909090909,3,1.0
54,2.241349153974424,-15.469937499999999,3,1.0
55,2.2614490459744108,-15.46854545454545,11,0.2909090909090909
56,2.2815489379743976,-15.472238095238097,4,1.0
57,2.3016488299743845,-15.471916666666667,5,0.8
58,2.3217487219743713,-15.471888888888888,3,1.0
59,2.341848613974358,-15.4706875,6,0.6666666666666666
60,2.361948505974345,-15.471176470588235,4,0.6666666666666666
61,2.382048397974332,-15.472444444444445,2,1.0
62,2.4021482899743187,-15.468315789473685,23,0.233201581027668
63,2.4222481819743056,-15.470666666666666,2,1.0
64,2.4423480739742924,-15.470333333333334,11,0.43636363636363634
65,2.4624479659742793,-15.471875,3,0.6666666666666666
66,2.482547857974266,-15.47505,2,1.0
67,2.502647749974253,-15.471000000000002,9,0.4166666666666667
68,2.52274764197424,-15.473083333333335,3,1.0
69,2.542847533974226,-15.472461538461538,3,1.0
70,2.5629474259742118,-15.470809523809525,9,0.4722222222222222
71,2.5830473179741986,-15.472117647058823,2,1.0
72,2.6031472099741855,-15.470933333333333,5,0.7
73,2.6232471019741723,-15.470333333333334,6,0.8666666666666667
74,2.643346993974159,-15.470142857142859,12,0.3939393939393939
75,2.663446885974146,-15.473294117647058,4,1.0
76,2.683546777974133,-15.474333333333334,4,1.0
77,2.7036466699741197,-15.474055555555559,4,1.0
78,2.7237465619741066,-15.470875,6,0.5333333333333333
79,2.7438464539740934,-15.472142857142856,2,1.0
80,2.7639463459740803,-15.469999999999999,12,0.36363636363636365
81,2.784046237974067,-15.472588235294117,2,1.0
82,2.804146129974054,-15.471115384615384,9,0.4444444444444444
83,2.824246021974041,-15.475785714285712,3,1.0
84,2.8443459139740277,-15.474142857142857,3,1.0
85,2.8644458059740145,-15.471874999999999,8,0.5714285714285714
86,2.8845456979740014,-15.472315789473683,4,1.0
87,2.9046455899739883,-15.472117647058823,7,0.6666666666666666
88,2.924745481973975,-15.472722222222224,2,1.0
89,2.944845373973962,-15.471117647058824,8,0.5357142857142857
90,2.964945265973949,-15.472176470588234,2,1.0
91,2.9850451579739357,-15.469214285714287,12,0.4090909090909091
92,3.0051450499739225,-15.468777777777778,20,0.29473684210526313
93,3.0252449419739094,-15.470666666666666,5,0.8
94,3.045344833973896,-15.470888888888888,5,0.7
95,3.065444725973883,-15.472,3,1.0
96,3.08554461797387,-15.472000000000001,4,0.8333333333333334
97,3.105644509973856,-15.470374999999999,9,0.4166666666666667
98,3.125744401973842,-15.47315384615385,3,1.0
99,3.1458442939738287,-15.472214285714287,3,1.0
100,3.1659441859738156,-15.47015,10,0.37777777777777777
101,3.1860440779738024,-15.471230769230772,3,1.0
102,3.2061439699737893,-15.471095238095236,5,0.6
103,3.226243861973776,-15.472444444444445,2,1.0
104,3.246343753973763,-15.47084210526316,7,0.47619047619047616
105,3.26644364597375,-15.472000000000001,4,0.8333333333333334
106,3.2865435379737367,-15.472882352941175,3,1.0
107,3.3066434299737235,-15.470785714285713,6,0.6
108,3.3267433219737104,-15.469035714285713,19,0.26900584795321636
109,3.346843213973697,-15.471611111111113,4,1.0
110,3.366943105973684,-15.471541666666667,5,0.9
111,3.387042997973671,-15.471538461538463,4,1.0
112,3.4071428899736578,-15.470785714285714,6,0.6666666666666666
113,3.4272427819736446,-15.471473684210528,2,1.0
114,3.4473426739736315,-15.468956521739129,19,0.2982456140350877
115,3.4674425659736183,-15.471666666666666,4,0.8333333333333334
116,3.487542457973605,-15.472157894736842,3,1.0
117,3.507642349973592,-15.470421052631579,4,0.8333333333333334
118,3.527742241973579,-15.469500000000002,7,0.47619047619047616
119,3.5478421339735657,-15.471916666666667,2,1.0
120,3.5679420259735526,-15.469466666666667,10,0.35555555555555557
121,3.5880419179735394,-15.471555555555556,3,1.0
122,3.6081418099735263,-15.473083333333333,3,1.0
