Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-82.97287200319766,-15.283388888888888,3,0.3333333333333333
1,-82.7651760031977,-15.283136363636366,3,0.6666666666666666
2,-82.55748000319772,-15.2853125,2,1.0
3,-82.34978400319774,-15.28213333333333,9,0.2777777777777778
4,-82.14208800319776,-15.283444444444443,3,1.0
5,-81.93439200319779,-15.283583333333333,3,1.0
6,-81.72669600319782,-15.282875,6,0.4666666666666667
7,-81.51900000319782,-15.285999999999998,2,1.0
8,-81.31130400319785,-15.28252631578947,6,0.4666666666666667
9,-81.10360800319788,-15.283,2,1.0
10,-80.89591200319789,-15.282214285714288,9,0.3888888888888889
11,-80.68821600319791,-15.284400000000002,3,1.0
12,-80.48052000319794,-15.283933333333332,6,0.6
13,-80.27282400319797,-15.285235294117646,2,1.0
14,-80.06512800319798,-15.283470588235295,6,0.5333333333333333
15,-79.857432003198,-15.285562500000001,2,1.0
16,-79.64973600319803,-15.283000000000001,7,0.5238095238095238
17,-79.44204000319804,-15.283588235294117,3,1.0
18,-79.23434400319806,-15.28255555555556,4,0.8333333333333334
19,-79.02664800319809,-15.280166666666664,16,0.23333333333333334
20,-78.81895200319812,-15.281533333333334,7,0.7619047619047619
21,-78.61125600319814,-15.2838,5,0.9
22,-78.40356000319815,-15.28475,4,1.0
23,-78.19586400319818,-15.284571428571427,7,0.7619047619047619
24,-77.9881680031982,-15.285142857142857,5,1.0
25,-77.78047200319821,-15.28477777777778,6,0.8666666666666667
26,-77.57277600319824,-15.280428571428569,15,0.2571428571428571
27,-77.36508000319827,-15.286625,2,1.0
28,-77.15738400319829,-15.283650000000003,3,0.6666666666666666
29,-76.9496880031983,-15.28213333333333,5,0.6
30,-76.74199200319833,-15.282681818181818,3,1.0
31,-76.53429600319835,-15.281857142857143,6,0.5333333333333333
32,-76.32660000319837,-15.283933333333332,3,1.0
33,-76.1189040031984,-15.2850625,3,1.0
34,-75.91120800319842,-15.281363636363634,11,0.32727272727272727
35,-75.70351200319844,-15.28281818181818,5,0.6
36,-75.49581600319846,-15.284875,2,1.0
37,-75.28812000319849,-15.28355,5,0.5
38,-75.08042400319852,-15.286999999999999,2,1.0
39,-74.87272800319852,-15.28238095238095,8,0.42857142857142855
40,-74.66503200319855,-15.285812499999999,2,1.0
41,-74.45733600319858,-15.282578947368423,10,0.3333333333333333
42,-74.24964000319859,-15.28761111111111,2,1.0
43,-74.04194400319861,-15.285894736842106,5,0.6
44,-73.83424800319864,-15.286222222222221,3,1.0
45,-73.62655200319867,-15.284428571428574,6,0.5333333333333333
46,-73.41885600319868,-15.286874999999998,2,1.0
47,-73.2111600031987,-15.2846,5,0.5
48,-73.00346400319873,-15.284941176470587,2,1.0
49,-72.79576800319875,-15.281428571428567,11,0.3090909090909091
50,-72.58807200319876,-15.2837,4,0.8333333333333334
51,-72.38037600319879,-15.286499999999998,3,1.0
52,-72.17268000319882,-15.2826875,4,0.8333333333333334
53,-71.96498400319884,-15.278705882352941,28,0.14814814814814814
