Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-1.0602900000000002,-15.294,6,0.6
1,-1.0052100000000002,-15.302,4,1.0
2,-0.97767,-15.304,5,0.9
3,-0.9501300000000001,-15.3065,4,1.0
4,-0.9225900000000001,-15.3015,5,0.9
5,-0.8950500000000001,-15.291,18,0.29411764705882354
6,-0.8675100000000001,-15.302,2,1.0
7,-0.8399700000000001,-15.296,13,0.4230769230769231
8,-0.8124300000000001,-15.307,3,1.0
9,-0.7573500000000002,-15.313,3,1.0
10,-0.7022700000000002,-15.301,10,0.4888888888888889
11,-0.67473,-15.306333333333335,2,1.0
12,-0.6471900000000002,-15.302,14,0.46153846153846156
13,-0.61965,-15.308666666666667,7,0.9047619047619048
14,-0.56457,-15.310333333333332,9,0.6111111111111112
15,-0.5370300000000001,-15.315,2,1.0
16,-0.50949,-15.313,4,0.6666666666666666
17,-0.48195000000000005,-15.312,8,0.6428571428571429
18,-0.4544100000000001,-15.314499999999999,2,1.0
19,-0.42687000000000014,-15.311,11,0.4909090909090909
20,-0.39933000000000013,-15.315,3,1.0
21,-0.3717900000000001,-15.314,3,1.0
22,-0.3442500000000001,-15.311,11,0.43636363636363634
23,-0.3167100000000001,-15.315,2,1.0
24,-0.2891700000000001,-15.312,8,0.4642857142857143
25,-0.2616300000000001,-15.324,2,1.0
26,-0.23409000000000008,-15.314,3,0.6666666666666666
27,-0.20655000000000007,-15.305,16,0.36666666666666664
28,-0.15147000000000005,-15.312,4,0.8333333333333334
29,-0.12393000000000004,-15.315000000000001,3,1.0
30,-0.09639000000000009,-15.309,6,0.6
31,-0.06885000000000008,-15.312,3,1.0
32,-0.04131000000000007,-15.308,5,0.7
33,-0.006024000005014685,-15.2995,29,0.21182266009852216
34,0.013769999999999949,-15.309999999999999,11,0.5272727272727272
35,0.04130999999999996,-15.3185,3,1.0
36,0.06884999999999997,-15.313333333333333,6,0.8
37,0.09638999999999998,-15.314,7,0.7142857142857143
38,0.12392999999999998,-15.319,3,1.0
39,0.15147,-15.316,5,0.8
40,0.17901,-15.311666666666667,7,0.7142857142857143
41,0.2065499999999999,-15.31,12,0.4393939393939394
42,0.2340899999999999,-15.32,2,1.0
43,0.2891699999999999,-15.315666666666665,5,0.6
44,0.31670999999999994,-15.32,3,1.0
45,0.37178999999999995,-15.317499999999999,5,0.7
46,0.39932999999999996,-15.308,15,0.3619047619047619
47,0.48195,-15.314333333333332,3,1.0
48,0.53703,-15.312,4,0.8333333333333334
49,0.56457,-15.311,6,0.8
50,0.70227,-15.309000000000001,6,0.9333333333333333
51,0.72981,-15.309,5,1.0
52,0.75735,-15.3075,7,0.7142857142857143
53,0.78489,-15.312,2,1.0
54,0.81243,-15.299,16,0.3416666666666667
55,0.83997,-15.303333333333333,2,1.0
56,0.8950500000000001,-15.297,12,0.45454545454545453
57,0.92259,-15.2995,3,1.0
58,0.97767,-15.299999999999999,3,1.0
59,1.03275,-15.2915,13,0.4230769230769231
