,star_name,before_transit_start,during_transit,after_transit_end
OGLE-TR-1001,OGLE-TR-1001,5.663157894736842,6.469135802469136,5.7631578947368425
OGLE-TR-1002,OGLE-TR-1002,6.030456852791878,6.253164556962025,6.142131979695432
OGLE-TR-1003,OGLE-TR-1003,6.375979112271541,5.950617283950617,5.994778067885117
OGLE-TR-1004,OGLE-TR-1004,5.821428571428571,6.493827160493828,6.244897959183674
OGLE-TR-1005,OGLE-TR-1005,5.715039577836412,7.2592592592592595,5.815303430079156
OGLE-TR-1006,OGLE-TR-1006,6.158730158730159,5.876543209876544,5.878306878306878
OGLE-TR-1007,OGLE-TR-1007,5.645502645502646,7.85,5.698412698412699
OGLE-TR-1008,OGLE-TR-1008,6.101010101010101,5.60655737704918,5.944444444444445
OGLE-TR-1009,OGLE-TR-1009,5.959493670886076,6.405405405405405,6.455696202531645
OGLE-TR-1010,OGLE-TR-1010,5.852459016393443,8.37037037037037,5.983606557377049
OGLE-TR-1011,OGLE-TR-1011,6.25,5.575,6.38265306122449
OGLE-TR-1012,OGLE-TR-1012,6.057742782152231,6.197530864197531,5.79002624671916
OGLE-TR-1013,OGLE-TR-1013,6.977215189873418,5.226666666666667,6.318987341772152
OGLE-TR-1014,OGLE-TR-1014,6.272493573264781,5.728395061728395,6.251928020565552
OGLE-TR-1015,OGLE-TR-1015,5.994858611825193,5.185185185185185,5.953727506426735
OGLE-TR-1016,OGLE-TR-1016,5.894736842105263,5.580246913580247,5.994750656167979
OGLE-TR-1017,OGLE-TR-1017,5.673469387755102,5.9,5.974554707379135
OGLE-TR-1018,OGLE-TR-1018,6.094240837696336,5.777777777777778,5.81151832460733
OGLE-TR-1019,OGLE-TR-1019,6.412213740458015,5.594594594594595,6.066157760814249
OGLE-TR-1020,OGLE-TR-1020,6.106060606060606,6.2,5.863636363636363
OGLE-TR-1021,OGLE-TR-1021,6.1158690176322414,7.087719298245614,6.226700251889169
OGLE-TR-1022,OGLE-TR-1022,5.785900783289817,5.481481481481482,5.712793733681462
OGLE-TR-1023,OGLE-TR-1023,5.69309462915601,6.486486486486487,6.107416879795396
OGLE-TR-1024,OGLE-TR-1024,5.822222222222222,6.345679012345679,5.838888888888889
OGLE-TR-1025,OGLE-TR-1025,5.947089947089947,5.432098765432099,5.677248677248677
OGLE-TR-1026,OGLE-TR-1026,5.835616438356165,5.25925925925926,6.224657534246576
OGLE-TR-1027,OGLE-TR-1027,5.613756613756614,5.728395061728395,6.195767195767195
OGLE-TR-1028,OGLE-TR-1028,5.449275362318841,5.7,5.681159420289855
OGLE-TR-1029,OGLE-TR-1029,5.69109947643979,7.530864197530864,5.774869109947644
OGLE-TR-1030,OGLE-TR-1030,5.9491094147582695,6.028169014084507,5.89821882951654
OGLE-TR-1031,OGLE-TR-1031,6.005420054200542,5.061728395061729,6.37940379403794
OGLE-TR-1032,OGLE-TR-1032,6.010230179028133,6.589743589743589,6.061381074168798
OGLE-TR-1033,OGLE-TR-1033,6.0,6.222222222222222,6.1841432225063935
OGLE-TR-1034,OGLE-TR-1034,5.668393782383419,7.1,5.849740932642487
OGLE-TR-1035,OGLE-TR-1035,6.161209068010075,6.684210526315789,6.332493702770781
OGLE-TR-1036,OGLE-TR-1036,5.7103825136612025,6.641975308641976,5.562841530054645
OGLE-TR-1037,OGLE-TR-1037,6.114285714285714,5.728395061728395,6.337662337662338
OGLE-TR-1038,OGLE-TR-1038,5.917981072555205,5.846153846153846,5.609120521172638
OGLE-TR-1039,OGLE-TR-1039,6.0,5.873417721518988,6.194373401534527
OGLE-TR-1040,OGLE-TR-1040,5.924242424242424,5.786666666666667,6.070886075949368
OGLE-TR-1041,OGLE-TR-1041,6.078740157480315,7.308641975308642,6.37270341207349
OGLE-TR-1042,OGLE-TR-1042,5.860103626943006,6.839506172839506,5.901554404145077
OGLE-TR-1043,OGLE-TR-1043,5.702349869451697,5.827160493827161,6.0
OGLE-TR-1044,OGLE-TR-1044,6.367952522255193,5.96078431372549,6.52924791086351
OGLE-TR-1045,OGLE-TR-1045,5.896440129449839,7.029411764705882,5.562874251497006
OGLE-TR-1046,OGLE-TR-1046,5.850899742930591,7.945945945945946,5.886889460154242
OGLE-TR-1047,OGLE-TR-1047,6.17948717948718,7.975,6.297435897435897
OGLE-TR-1048,OGLE-TR-1048,5.860103626943006,6.864197530864198,5.9067357512953365
OGLE-TR-1049,OGLE-TR-1049,6.333333333333333,5.417721518987341,5.947916666666667
