Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-120.17235855053354,-15.254095238095239,2,0.0
1,-119.87147565053355,-15.250999999999998,4,0.3333333333333333
2,-119.57059275053356,-15.252958333333334,2,1.0
3,-119.26970985053359,-15.251071428571432,5,0.5
4,-118.9688269505336,-15.251428571428571,3,1.0
5,-118.6679440505336,-15.251238095238094,4,0.6666666666666666
6,-118.36706115053363,-15.2534,2,1.0
7,-118.06617825053364,-15.249875,16,0.24166666666666667
8,-117.76529535053365,-15.251181818181818,8,0.6071428571428571
9,-117.46441245053367,-15.252199999999998,5,0.9
10,-117.16352955053368,-15.25285,4,1.0
11,-116.86264665053369,-15.251999999999999,6,0.7333333333333333
12,-116.56176375053371,-15.252352941176468,3,1.0
13,-116.26088085053372,-15.25111111111111,8,0.5
14,-115.95999795053373,-15.25170588235294,2,1.0
15,-115.65911505053376,-15.250850000000003,8,0.5
16,-115.35823215053377,-15.25205,3,0.6666666666666666
17,-115.05734925053378,-15.253416666666666,2,1.0
18,-114.7564663505338,-15.25088888888889,9,0.3611111111111111
19,-114.45558345053381,-15.25268181818182,2,1.0
20,-114.15470055053382,-15.252052631578946,5,0.5
21,-113.85381765053384,-15.252692307692307,2,1.0
22,-113.55293475053385,-15.25125,5,0.6
23,-113.25205185053386,-15.250210526315788,10,0.4
24,-112.95116895053388,-15.252944444444445,4,0.8333333333333334
25,-112.6502860505339,-15.254214285714285,3,1.0
26,-112.3494031505339,-15.252041666666669,5,0.6
27,-112.04852025053393,-15.252866666666664,2,1.0
28,-111.74763735053394,-15.248571428571429,17,0.22058823529411764
29,-111.44675445053394,-15.251153846153848,5,0.9
30,-111.14587155053397,-15.252111111111113,5,0.9
31,-110.84498865053398,-15.252571428571429,4,1.0
32,-110.54410575053399,-15.251357142857144,6,0.7333333333333333
33,-110.24322285053401,-15.2515,4,0.6666666666666666
34,-109.94233995053402,-15.252352941176472,2,1.0
35,-109.64145705053403,-15.248714285714284,20,0.21052631578947367
36,-109.34057415053405,-15.2526875,2,1.0
37,-109.03969125053406,-15.252111111111113,5,0.6
38,-108.73880835053407,-15.25375,3,1.0
39,-108.4379254505341,-15.251266666666668,5,0.6
40,-108.13704255053412,-15.252045454545454,2,1.0
41,-107.83615965053411,-15.250117647058824,17,0.25735294117647056
42,-107.53527675053414,-15.251722222222222,6,0.6666666666666666
43,-107.23439385053416,-15.252875,3,1.0
44,-106.93351095053416,-15.252294117647057,5,0.8
45,-106.63262805053418,-15.252333333333334,5,0.7
46,-106.3317451505342,-15.253363636363634,2,1.0
47,-106.0308622505342,-15.251807692307693,7,0.5238095238095238
