Point Number,Degree
0,8
1,2
2,5
3,2
4,6
5,5
6,2
7,8
8,5
9,2
10,6
11,2
12,7
13,2
14,27
15,4
16,4
17,5
18,4
19,2
20,25
21,2
22,3
23,5
24,6
25,4
26,4
27,8
28,3
29,3
30,8
31,3
32,2
33,14
34,6
35,4
36,4
37,8
38,3
39,5
40,2
41,9
42,6
43,4
44,3
45,6
46,3
47,2
48,13
49,4
50,4
51,4
52,23
53,3
54,4
55,2
56,7
57,3
58,5
59,2
60,4
61,2
62,14
63,5
64,5
65,2
66,7
67,4
68,4
69,8
70,3
71,2
72,12
73,4
74,3
75,4
76,6
77,5
78,2
79,5
80,2
81,7
82,2
83,19
84,3
85,3
86,12
87,2
88,4
89,2
90,9
91,3
92,3
93,10
94,3
95,6
96,7
97,3
98,6
99,6
100,7
101,15
102,2
103,7
104,5
105,3
106,4
107,7
108,3
109,4
110,2
111,20
112,3
113,3
114,5
115,4
116,2
117,11
118,2
119,17
120,5
121,3
122,4
123,6
124,4
125,2
126,8
127,3
128,2
129,6
130,2
131,14
132,5
133,4
134,5
135,4
136,14
137,3
138,5
139,3
140,3
141,17
142,3
143,2
144,21
145,2
146,3
147,7
148,3
149,3
150,10
151,2
152,3
153,7
154,3
155,5
156,8
157,3
158,10
159,4
160,2
161,4
162,10
163,7
164,2
165,5
166,4
167,8
168,4
169,3
170,6
171,18
172,3
173,4
174,2
175,16
176,4
177,4
178,4
179,14
180,4
181,4
182,3
183,7
184,3
185,4
186,10
187,2
188,10
189,2
190,4
191,6
192,4
193,4
194,5
195,24
196,2
197,9
198,3
199,3
200,6
201,5
202,2
203,11
204,3
205,3
206,11
207,3
208,2
209,10
210,2
211,6
212,6
213,2
214,17
215,4
216,3
217,4
218,13
219,2
220,6
221,2
222,6
223,3
224,9
225,16
226,35
227,14
228,2
229,13
230,2
231,6
232,2
233,7
234,6
235,7
236,9
237,6
238,2
239,16
240,7
241,2
242,6
243,4
244,6
245,6
246,2
247,14
248,2
249,5
250,3
251,3
252,13
253,3
254,3
255,5
256,2
257,9
258,6
259,2
260,4
261,2
262,8
263,2
264,6
265,4
266,4
267,7
268,16
269,2
270,6
271,2
272,3
273,8
274,2
275,5
276,2
277,5
278,2
279,20
280,4
281,3
282,6
283,2
284,5
285,2
286,10
287,2
288,5
289,2
290,4
291,9
292,2
293,6
294,2
295,5
296,3
297,5
298,24
299,6
300,4
301,4
302,6
303,7
304,4
305,5
306,3
307,6
308,17
309,4
310,3
311,5
312,2
313,11
314,3
315,4
316,3
317,11
318,5
319,2
320,5
321,4
322,11
323,2
324,6
325,2
326,5
327,3
328,5
329,13
330,2
331,5
332,3
333,4
334,23
335,2
336,7
337,4
338,6
339,5
340,5
341,14
342,2
343,10
344,2
345,8
346,2
347,12
348,5
349,4
350,6
351,3
352,4
353,11
354,9
355,4
356,2
357,9
358,14
359,3
360,3
361,9
362,2
363,6
364,2
365,7
366,2
367,7
368,2
369,13
370,3
371,3
372,6
373,3
374,5
375,3
376,2
377,13
378,2
379,15
380,2
381,12
382,2
383,14
384,3
385,4
386,3
387,11
388,14
389,4
390,4
391,4
392,10
393,4
394,4
395,6
396,12
397,2
398,18
399,2
400,3
401,14
402,10
403,10
404,7
405,3
406,10
407,10
408,10
409,4
410,3
411,11
412,12
413,22
414,2
415,5
416,4
417,5
418,2
419,27
420,5
421,4
422,6
423,4
424,6
425,2
426,65
427,4
428,6
429,4
430,4
431,6
432,14
433,2
434,4
435,10
436,3
437,12
438,4
439,4
440,5
441,11
442,3
443,4
444,2
445,13
446,2
447,6
448,5
449,2
450,12
451,6
452,6
453,4
454,6
455,11
456,6
457,23
458,3
459,3
460,12
461,8
462,2
463,8
464,2
465,6
466,8
467,6
468,2
469,4
470,2
471,14
472,2
473,7
474,6
475,5
476,7
477,2
478,10
479,12
480,2
481,26
482,5
483,5
484,4
485,5
486,11
487,3
488,3
489,9
490,4
491,4
492,6
493,2
494,16
495,2
496,3
497,6
498,7
499,4
500,4
501,5
502,10
503,2
504,8
505,3
506,2
507,9
508,2
509,30
510,4
511,3
512,4
513,10
514,2
515,4
516,8
517,3
518,3
519,14
520,4
521,3
522,4
523,10
524,3
525,4
526,2
527,14
528,2
529,3
530,9
531,3
532,3
533,6
534,2
535,8
536,3
537,4
538,2
539,14
540,4
541,2
542,5
543,3
544,12
545,4
546,2
547,3
548,22
549,5
550,3
551,6
552,3
553,5
554,14
555,3
556,3
557,8
558,3
559,3
560,6
561,8
562,2
563,4
564,6
565,2
566,5
567,4
568,18
569,2
570,6
571,6
572,2
573,6
574,6
575,2
576,19
577,5
578,4
579,5
580,4
581,2
582,11
583,7
584,3
585,5
586,2
587,6
588,2
589,13
590,3
591,3
592,5
593,7
594,4
595,2
596,6
597,3
598,4
599,19
600,6
601,2
602,6
603,4
604,8
605,4
606,4
607,4
608,26
609,4
610,4
611,4
612,7
613,3
614,9
615,2
616,4
617,3
618,8
619,3
620,3
621,10
622,3
623,2
624,9
625,6
626,5
627,5
628,7
629,3
630,8
631,3
632,4
633,53
634,3
635,3
636,12
637,2
638,7
639,6
640,5
641,6
642,7
643,2
644,15
645,2
646,9
647,3
648,3
649,7
650,13
651,2
652,3
653,4
654,5
655,3
656,6
657,3
658,3
659,16
660,2
661,5
662,5
663,2
664,7
665,4
666,7
667,3
668,3
669,16
670,3
671,3
672,5
673,12
674,3
675,5
676,3
677,5
678,2
679,25
680,4
681,2
682,4
683,8
684,3
685,3
686,6
687,2
688,9
689,5
690,5
691,4
692,7
693,3
694,2
695,19
696,3
697,3
698,9
699,2
700,6
701,6
702,5
703,7
704,2
705,15
706,6
707,6
708,4
709,5
710,9
711,3
712,3
713,7
714,2
715,11
716,3
717,3
718,6
719,3
720,3
721,27
722,4
723,4
724,4
725,9
726,7
727,2
728,6
729,2
730,7
731,4
732,3
733,2
734,12
735,3
736,2
737,10
738,6
739,4
740,5
741,6
742,2
743,11
744,2
745,17
746,2
747,10
748,6
749,4
750,6
751,4
752,6
753,14
754,2
755,7
756,2
757,8
758,3
759,3
760,6
761,7
762,4
763,2
764,9
765,4
766,4
767,4
768,20
769,2
770,5
771,2
772,7
773,3
774,4
775,3
776,17
777,2
778,6
779,2
780,5
781,4
782,13
783,2
784,4
785,6
786,3
787,5
788,4
789,19
790,2
791,3
792,7
793,2
794,6
795,4
796,4
797,5
798,10
799,2
800,4
801,2
802,21
803,3
804,4
805,4
806,2
807,11
808,2
809,3
810,5
811,4
812,3
813,3
814,13
815,3
816,6
817,5
818,6
819,2
820,6
821,13
822,4
823,3
824,7
825,4
826,4
827,4
828,19
829,2
830,5
831,4
832,5
833,2
834,8
835,4
836,2
837,4
838,4
