Time,Magnitude
-25.24967999972851,14.913
-25.246679999723494,14.929
-25.23830399972884,14.919
-25.235927999726282,14.922
-25.233647999724877,14.92
-25.230095999729695,14.917
-25.22903999972014,14.922
-25.228511999737446,14.918
-25.226039999732148,14.919
-25.22411999973367,14.92
-25.212671999719117,14.916
-25.211591999741056,14.905
-25.210631999719777,14.914
-25.199279999734255,14.917
-25.188623999733164,14.919
-25.186055999738112,14.919
-25.16481599973839,14.916
-25.154807999722248,14.919
-25.154759999730384,14.922
-25.15130399972521,14.911
-25.150367999738034,14.914
-25.139351999726227,14.909
-25.13863199971767,14.917
-25.136207999736524,14.919
-25.133687999724156,14.914
-25.13243999974703,14.925
-25.12562399973022,14.915
-25.124903999723255,14.922
-25.1247359997172,14.917
-25.12207199972691,14.923
-25.119935999716727,14.916
-25.114151999738606,14.916
-25.1104559997385,14.926
-25.1076719997322,14.91
-25.107479999738228,14.925
-25.098983999720314,14.917
-25.09850399971945,14.913
-25.095215999719624,14.922
-25.08746399972203,14.918
-25.086407999730294,14.924
-25.07805599973086,14.914
-25.076663999721386,14.913
-25.07159999972178,14.913
-25.06948799972754,14.915
-25.06684799971732,14.914
-25.061375999735798,14.908
-25.060415999725347,14.922
-25.05943199972877,14.914
-25.059071999731497,14.906
-25.057079999720695,14.915
-25.054319999735537,14.922
-25.049903999722073,14.924
-25.041095999718873,14.911
-25.03850399972573,14.932
-25.037015999737957,14.908
-25.033175999732133,14.917
-25.029599999719192,14.917
-25.028975999713776,14.917
-25.027439999741244,14.932
-25.024583999721056,14.909
-25.02196799973238,14.909
-25.016255999726535,14.922
-25.004783999731625,14.91
-24.999023999721754,14.918
-24.99803999972489,14.925
-24.98109599972413,14.923
-24.98078399973455,14.916
-24.9796799997283,14.914
-24.974207999736773,14.925
-24.9708959997407,14.922
-24.96935999973341,14.915
-24.968999999725565,14.913
-24.96431999973451,14.934
-24.96153599972116,14.919
-24.96043199973165,14.911
-24.958727999733338,14.917
-24.95759999972925,14.937
-24.955943999750684,14.915
-24.955607999737406,14.914
-24.94391999973818,14.914
-24.93799199973115,14.917
-24.935711999718233,14.911
-24.93448799972786,14.915
-24.931919999731758,14.935
-24.93160799972109,14.903
-24.92675999971466,14.91
-24.92673599973305,14.921
-24.924911999723616,14.918
-24.922175999729472,14.907
-24.920663999719647,14.918
-24.920519999723165,14.917
-24.920063999733895,14.927
-24.917687999718606,14.904
-24.914039999721165,14.915
-24.91375199973451,14.915
-24.910367999730635,14.923
-24.909935999741304,14.929
-24.908783999725767,14.917
-24.902999999728063,14.91
-24.90220799973137,14.91
-24.90067199972263,14.922
-24.9004319997271,14.921
-24.896999999716865,14.929
-24.891743999716777,14.912
-24.88989599972022,14.922
-24.889583999729478,14.919
-24.887975999742377,14.915
-24.883559999722603,14.913
-24.881639999741605,14.922
-24.87940799972132,14.912
-24.873191999731358,14.913
-24.849503999736452,14.916
-24.84611999974278,14.927
-24.843359999728005,14.901
-24.840119999733513,14.924
-24.839279999719746,14.925
-24.829487999724176,14.912
-24.821351999727636,14.911
-24.811535999725816,14.918
-24.808943999720423,14.93
-24.803591999730497,14.916
-24.799175999722234,14.92
-24.79521599973479,14.91
-24.790607999735965,14.926
-24.790583999735542,14.916
-24.787607999746495,14.921
-24.78263999972138,14.912
-24.781367999718736,14.923
-24.780143999732,14.922
-24.774887999738592,14.901
-24.77303999974013,14.926
-24.77167199975288,14.921
-24.770615999752277,14.915
-24.770495999716626,14.917
-24.7673039997221,14.919
-24.76677599973682,14.919
-24.76651199973396,14.913
-24.764543999742425,14.916
-24.760415999729712,14.923
-24.75491999973529,14.915
-24.75371999972553,14.917
-24.749831999739268,14.915
-24.748943999728862,14.925
-24.74505599972512,14.918
-24.741671999734546,14.912
-24.738935999737475,14.914
-24.730079999741076,14.914
-24.72770399972624,14.916
-24.723839999727414,14.922
-24.720239999735764,14.915
-24.718655999727968,14.911
-24.718511999734584,14.918
-24.70977599973183,14.914
-24.706871999733846,14.913
-24.70029599973294,14.921
-24.69424799972752,14.913
-24.693071999717528,14.923
-24.691967999725716,14.922
-24.689399999739305,14.926
-24.687071999735178,14.918
-24.685295999727213,14.921
-24.67943999973873,14.913
-24.678623999739425,14.923
-24.677087999721675,14.917
-24.663551999730753,14.915
-24.6628799997283,14.923
-24.657335999723426,14.914
-24.65649599972188,14.914
-24.650519999731483,14.91
-24.64792799972677,14.924
-24.647183999736438,14.915
-24.635615999741372,14.922
-24.634415999746192,14.913
-24.633335999731155,14.915
-24.632711999725654,14.917
-24.632351999725056,14.916
-24.631991999734293,14.919
-24.62853599972912,14.914
-24.627023999738764,14.911
-24.626687999719234,14.911
-24.626447999730214,14.921
-24.622583999734257,14.914
-24.622487999729014,14.914
-24.621479999725107,14.921
-24.615671999730363,14.923
-24.61159199972796,14.908
-24.60921599974203,14.916
-24.607247999737194,14.912
-24.606191999745487,14.921
-24.60122399972037,14.915
-24.59515199972132,14.911
-24.594743999742388,14.913
-24.586031999724167,14.92
-24.5857199997324,14.919
-24.579311999720897,14.915
-24.577799999733838,14.923
-24.577559999735012,14.934
-24.573935999739756,14.918
-24.57283199973396,14.916
-24.56863199971995,14.919
-24.56812799974473,14.919
-24.56683199973862,14.916
-24.548303999727477,14.924
-24.54535199973098,14.928
-24.542567999731272,14.914
-24.542279999728418,14.922
-24.540863999720425,14.923
-24.539879999722114,14.919
-24.536447999719552,14.921
-24.531623999717635,14.931
-24.510527999748785,14.919
-24.507959999733725,14.923
-24.498647999735407,14.899
-24.496655999744245,14.926
-24.49557599973023,14.924
-24.489839999727746,14.921
-24.482183999724565,14.92
-24.47911199972388,14.925
-24.477911999742002,14.915
-24.47620799972118,14.918
-24.473351999734813,14.915
-24.466847999737194,14.918
-24.464855999726364,14.923
-24.464279999735066,14.93
-24.461759999717923,14.915
-24.4553279997274,14.916
-24.455063999730083,14.919
-24.451679999734647,14.908
-24.450311999736737,14.914
-24.44884799972571,14.911
-24.445847999734422,14.913
-24.43989599971759,14.91
-24.436487999721816,14.922
