Degree,Log(Probability)
2,-1.8001177268422563
3,-1.7107111391266716
4,-2.025061458660614
5,-2.191296877702944
6,-2.4171035464366377
7,-2.727258474740477
8,-3.0210195932686403
9,-3.2688557571732217
10,-3.8442199020767833
11,-3.901378315916732
12,-3.901378315916732
13,-4.095534330357689
14,-4.169642302511411
15,-3.9620029377331667
16,-4.942832190744893
17,-6.041444479413003
18,-4.788681510917635
19,-5.125153747538848
20,-5.125153747538848
21,-4.942832190744893
22,-6.041444479413003
23,-5.635979371304838
24,-6.734591659972948
25,-6.734591659972948
26,-6.041444479413003
27,-5.635979371304838
31,-6.734591659972948
51,-6.734591659972948
52,-6.734591659972948
60,-6.734591659972948
