Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,-2.0556354386086086,-12.803,3,0.3333333333333333
1,-2.050488709408608,-12.80075,2,1.0
2,-2.0453419802086072,-12.797999999999998,6,0.26666666666666666
3,-2.0401952510086057,-12.806999999999999,2,1.0
4,-2.035048521808605,-12.799333333333331,5,0.5
5,-2.0299017926086043,-12.800499999999998,4,0.8333333333333334
6,-2.0247550634086027,-12.803666666666667,3,1.0
7,-2.019608334208602,-12.801999999999998,5,0.6
8,-2.0144616050086013,-12.803,2,1.0
9,-2.0093148758086,-12.795833333333334,9,0.2777777777777778
10,-2.004168146608599,-12.8005,2,1.0
11,-1.999021417408598,-12.798200000000001,4,0.5
12,-1.9938746882085971,-12.8,2,1.0
13,-1.988727959008596,-12.794,13,0.20512820512820512
14,-1.983581229808595,-12.798666666666668,4,0.8333333333333334
15,-1.9784345006085942,-12.800999999999998,3,1.0
16,-1.973287771408593,-12.798,4,0.8333333333333334
17,-1.9681410422085923,-12.796125,9,0.3611111111111111
18,-1.9629943130085912,-12.803666666666667,2,1.0
19,-1.95784758380859,-12.801,5,0.7
20,-1.9527008546085893,-12.802,4,1.0
21,-1.9475541254085882,-12.80275,4,1.0
22,-1.942407396208587,-12.798000000000002,11,0.45454545454545453
23,-1.9372606670085863,-12.800333333333334,7,0.7619047619047619
24,-1.9321139378085852,-12.806000000000001,2,1.0
25,-1.9269672086085843,-12.8036,7,0.7619047619047619
26,-1.9218204794085834,-12.8048,6,1.0
27,-1.9166737502085822,-12.802714285714288,6,1.0
28,-1.9115270210085813,-12.800299999999998,9,0.5555555555555556
29,-1.9063802918085804,-12.8032,3,1.0
30,-1.9012335626085792,-12.803,3,1.0
31,-1.8960868334085783,-12.793,22,0.18614718614718614
32,-1.8909401042085774,-12.799333333333331,4,1.0
33,-1.8857933750085762,-12.802,4,1.0
34,-1.8806466458085753,-12.802249999999999,4,1.0
35,-1.8754999166085744,-12.798142857142855,9,0.4166666666666667
36,-1.8703531874085733,-12.804,2,1.0
37,-1.8652064582085726,-12.802000000000001,5,0.7
38,-1.8600597290085714,-12.80314285714286,4,1.0
39,-1.8549129998085703,-12.802,5,0.8
40,-1.8497662706085696,-12.796199999999999,12,0.36363636363636365
41,-1.8446195414085684,-12.797166666666664,4,1.0
42,-1.8394728122085673,-12.797,8,0.5357142857142857
43,-1.8343260830085666,-12.802,2,1.0
44,-1.8291793538085654,-12.798,8,0.5
45,-1.8240326246085645,-12.800250000000002,5,0.8
46,-1.8188858954085636,-12.801399999999997,5,0.7
