Degree,Probability
2,0.1649214659685864
3,0.21204188481675393
4,0.1256544502617801
5,0.14136125654450263
6,0.06544502617801047
7,0.06282722513089005
8,0.028795811518324606
9,0.028795811518324606
10,0.013089005235602094
11,0.02617801047120419
12,0.02617801047120419
13,0.013089005235602094
14,0.015706806282722512
15,0.013089005235602094
16,0.01832460732984293
17,0.010471204188481676
18,0.005235602094240838
19,0.005235602094240838
22,0.007853403141361256
23,0.002617801047120419
28,0.002617801047120419
33,0.002617801047120419
35,0.002617801047120419
41,0.002617801047120419
72,0.002617801047120419
