Point Number,Degree
0,2
1,2
2,7
3,4
4,3
5,2
6,7
7,9
8,8
9,3
10,5
11,4
12,7
13,6
14,2
15,11
16,3
17,2
18,5
19,6
20,4
21,4
22,4
23,23
24,3
25,3
26,15
27,2
28,5
29,3
30,4
31,12
32,3
33,3
34,5
35,3
36,4
37,8
38,3
39,3
40,11
41,4
42,5
43,4
44,5
45,30
46,2
47,20
48,3
49,3
50,15
51,2
52,20
53,7
54,8
55,2
56,4
57,7
58,2
59,10
60,3
61,3
62,11
63,2
64,8
65,2
66,3
67,24
68,3
69,3
70,5
71,2
72,12
73,11
74,2
75,5
76,6
77,3
78,4
79,9
80,15
81,2
82,5
83,3
84,4
85,20
86,3
87,4
88,5
89,10
90,9
91,12
92,2
93,20
94,2
95,16
96,3
97,3
98,20
99,2
100,3
101,9
102,3
103,3
104,19
105,6
106,2
107,5
108,6
109,6
110,5
111,6
112,3
113,8
114,14
115,4
116,4
117,4
118,7
119,4
120,3
121,4
122,13
123,4
124,3
125,4
126,9
127,4
128,5
129,3
130,5
131,6
132,3
133,2
134,2
