Time,Magnitude
-5.681040002241218,15.316
-5.671152002239353,15.319
-5.642448002233294,15.311
-5.640672002240365,15.322
-5.639616002244367,15.316
-5.618688002229192,15.333
-5.604336002235556,15.31
-5.588112002233203,15.326
-5.578080002228887,15.319
-5.5614240022397325,15.315
-5.537520002225222,15.317
-5.531328002238013,15.317
-5.5273440022320415,15.321
-5.508816002241474,15.33
-5.499072002219947,15.311
-5.489184002244059,15.313
-5.469072002243479,15.312
-5.466144002227509,15.317
-5.453904002225045,15.326
-5.399664002233692,15.325
-5.386368002228778,15.316
-5.3811360022274926,15.319
-5.371536002243943,15.316
-5.370768002240652,15.315
-5.369472002232328,15.325
-5.36851200223154,15.31
-5.367600002226936,15.318
-5.352672002252973,15.314
-5.3356800022345965,15.326
-5.332416002224932,15.308
-5.326176002239009,15.313
-5.32315200223394,15.319
-5.316528002244468,15.311
-5.3126880022408045,15.328
-5.310480002233419,15.323
-5.302944002251763,15.322
-5.301360002230211,15.328
-5.28148800222786,15.318
-5.280576002228969,15.308
-5.27697600222848,15.319
-5.267904002240073,15.32
-5.256000002242956,15.33
-5.25374400224041,15.323
-5.239920002235266,15.333
-5.221104002241248,15.318
-5.214240002230724,15.325
-5.201952002231366,15.318
-5.196864002239863,15.32
-5.196768002242322,15.315
-5.191536002226712,15.323
-5.182176002237554,15.339
-5.157552002233274,15.318
-5.140704002233065,15.328
-5.121744002226336,15.327
-5.106336002245968,15.324
-5.105904002241459,15.327
-5.0708640022377836,15.316
-5.061360002237166,15.33
-5.04561600224315,15.328
-5.044848002223148,15.319
-5.028096002238527,15.322
-5.02248000223608,15.317
-5.011248002229422,15.323
-5.010672002237811,15.319
-5.008512002223682,15.319
-5.00112000224064,15.336
-4.99910400224573,15.329
-4.975632002238228,15.328
-4.9719360022327805,15.33
-4.971312002245099,15.321
-4.966368002236607,15.324
-4.931088002229217,15.315
-4.923888002224857,15.314
-4.9058400022266255,15.323
-4.9047840022431615,15.317
-4.896528002225978,15.322
-4.880256002246767,15.324
-4.859808002241778,15.315
-4.830816002236247,15.313
-4.826352002224695,15.324
-4.816608002237558,15.314
-4.804608002226701,15.321
-4.796256002227722,15.316
-4.748064002244519,15.333
-4.731696002239261,15.32
-4.730640002228824,15.316
-4.728336002231714,15.322
