Degree,Log(Probability)
2,-1.8684520900163095
3,-1.6482112983600612
4,-1.8258924755975137
5,-2.231357583705678
6,-2.5761980699974076
7,-2.967064378684419
8,-3.4635012649983103
9,-3.0580361568901457
10,-3.704663321815198
11,-3.9053340172773496
12,-3.704663321815198
13,-3.9053340172773496
14,-3.7999735016195233
15,-4.493120682179469
16,-5.409411414053624
17,-5.003946305945459
18,-5.003946305945459
19,-6.102558594613569
21,-5.409411414053624
22,-6.102558594613569
24,-6.102558594613569
25,-6.102558594613569
27,-6.102558594613569
30,-5.409411414053624
33,-6.102558594613569
34,-6.102558594613569
38,-6.102558594613569
41,-6.102558594613569
43,-6.102558594613569
49,-5.409411414053624
54,-6.102558594613569
