T,Flux,E
5376.62759,13.920,0.003
5376.64033,13.922,0.003
5376.65393,13.927,0.003
5376.66658,13.918,0.003
5376.68122,13.919,0.003
5376.69437,13.917,0.003
5376.70744,13.920,0.003
5376.72018,13.925,0.003
5376.73257,13.923,0.003
5376.74570,13.917,0.003
5376.75856,13.920,0.003
5376.77138,13.922,0.003
5376.78398,13.922,0.003
5376.79671,13.921,0.003
5376.80954,13.919,0.003
5376.82219,13.930,0.003
5376.83471,13.925,0.003
5376.84747,13.915,0.003
5376.86010,13.922,0.003
5376.87261,13.909,0.003
5377.51619,13.928,0.003
5377.52944,13.921,0.003
5377.54226,13.924,0.003
5377.55821,13.921,0.003
5377.57226,13.925,0.003
5377.58678,13.927,0.003
5377.59952,13.928,0.003
5377.61222,13.926,0.003
5377.62498,13.927,0.003
5377.64590,13.924,0.003
5377.66571,13.919,0.003
5377.68027,13.922,0.003
5377.69855,13.920,0.003
5377.71157,13.918,0.003
5377.72922,13.918,0.003
5377.74212,13.920,0.003
5377.75462,13.922,0.003
5377.77223,13.921,0.003
5377.78484,13.921,0.003
5377.79731,13.922,0.003
5377.80996,13.924,0.003
5377.82254,13.919,0.003
5377.83549,13.919,0.003
5377.84816,13.919,0.003
5377.86071,13.922,0.003
5378.48982,13.919,0.003
5378.50433,13.919,0.003
5378.51850,13.920,0.003
5378.53228,13.921,0.003
5378.54598,13.922,0.003
5378.56013,13.921,0.003
5378.57399,13.920,0.003
5378.58809,13.921,0.003
5378.60231,13.922,0.003
5378.61638,13.924,0.003
5378.63067,13.922,0.003
5378.64481,13.924,0.003
5378.66058,13.917,0.003
5378.67640,13.920,0.003
5378.69067,13.919,0.003
5378.70526,13.920,0.003
5378.71965,13.921,0.003
5378.73254,13.917,0.003
5378.74533,13.923,0.003
5378.75795,13.913,0.003
5378.77060,13.916,0.003
5378.78348,13.920,0.003
5378.79649,13.921,0.003
5378.80908,13.922,0.003
5378.82172,13.931,0.003
5378.83636,13.928,0.003
5378.84901,13.928,0.003
5378.86166,13.926,0.003
5378.87406,13.922,0.003
5379.48790,13.924,0.003
5379.50047,13.921,0.003
5379.51310,13.923,0.003
5379.52585,13.923,0.003
5379.53983,13.923,0.003
5379.55417,13.922,0.003
5379.56849,13.921,0.003
5379.58275,13.919,0.003
5379.59657,13.921,0.003
5379.61055,13.924,0.003
5379.62469,13.915,0.003
5379.63938,13.921,0.003
5379.65430,13.920,0.003
5379.66880,13.926,0.003
5379.68310,13.923,0.003
5379.69750,13.925,0.003
5379.71167,13.920,0.003
5379.72579,13.923,0.003
5379.73977,13.922,0.003
5379.75237,13.918,0.003
5379.76490,13.920,0.003
5379.77742,13.924,0.003
5379.78998,13.876,0.003
5379.80277,13.925,0.003
5379.81534,13.925,0.003
5379.82775,13.925,0.003
5379.84086,13.924,0.003
5379.85346,13.929,0.003
5379.86878,13.925,0.003
5380.49934,13.923,0.003
5380.51191,13.920,0.003
5380.52457,13.924,0.003
5380.53720,13.918,0.003
5380.55104,13.918,0.003
5380.56509,13.917,0.003
5380.57905,13.921,0.003
5380.59295,13.919,0.003
5380.60687,13.918,0.003
5380.62083,13.916,0.003
5380.63484,13.916,0.003
5380.64914,13.916,0.003
5380.66481,13.917,0.003
5380.67978,13.922,0.003
5380.69394,13.918,0.003
5380.70746,13.914,0.003
5380.72036,13.917,0.003
5380.73306,13.919,0.003
