star_name,avg_degree_before_transit,avg_clust_coeff_before_transit,avg_degree_during_transit,avg_clust_coeff_during_transit,avg_degree_after_transit,avg_clust_coeff_after_transit
OGLE-TR-1001,5.751412429,0.746256111,6.298295455,0.753113302,6.064628063,0.750281995
OGLE-TR-1002,5.512605042,0.746339867,5.933962264,0.763560271,6.264047259,0.753649612
OGLE-TR-1003,6.76702509,0.765807992,5.936348409,0.750901451,6.275577087,0.751187497
OGLE-TR-1004,5.483870968,0.742699755,5.747572816,0.739258784,6.091627391,0.750247777
OGLE-TR-1005,5.867724868,0.749282848,6.411034483,0.751754678,6.30662122,0.751647682
OGLE-TR-1006,5.894977169,0.747797933,6.304347826,0.748776,6.225317012,0.75003417
OGLE-TR-1007,5.642691415,0.74999332,6.033290653,0.742876537,5.985809246,0.750111107
OGLE-TR-1008,5.170731707,0.725211223,5.485148515,0.730673059,6.314663665,0.753053338
OGLE-TR-1009,5.402597403,0.710541547,6.033898305,0.747909299,6.179135069,0.751855669
OGLE-TR-1010,5.820668693,0.743501847,6.042687747,0.750652264,6.118205554,0.750842091
OGLE-TR-1011,5.216216216,0.743427498,5.665427509,0.748682579,6.254784111,0.752612651
OGLE-TR-1012,5.582089552,0.749367149,5.863708399,0.748455547,6.267669621,0.750318689
OGLE-TR-1013,5.123287671,0.74567799,5.178082192,0.720855237,6.366782954,0.751815262
OGLE-TR-1014,6.865248227,0.77238149,6.643051771,0.755812029,6.73465704,0.758703546
OGLE-TR-1015,5.829787234,0.740952403,5.746898263,0.739033847,6.220429353,0.750072026
OGLE-TR-1016,5.793696275,0.743542595,6.036036036,0.742773117,6.280321111,0.753163804
OGLE-TR-1017,5.98245614,0.757202979,6.250980392,0.747256511,6.107826087,0.748368864
OGLE-TR-1018,5.816793893,0.753306997,6.199677939,0.752308211,6.288512179,0.752776377
OGLE-TR-1019,5.5625,0.72760092,5.838150289,0.732121805,6.125718818,0.751654374
OGLE-TR-1020,3.793103448,0.671975917,5.85620915,0.742561474,6.109517074,0.750206312
