Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
0,3.857519998216994,-14.283,3,0.3333333333333333
1,3.879599998205372,-14.279,2,1.0
2,3.898319998216046,-14.275,5,0.3
3,3.9098399982059324,-14.28,2,1.0
4,3.911519998205613,-14.278,3,0.6666666666666666
5,3.925199998198146,-14.272,9,0.3611111111111111
6,3.925919998213637,-14.282,2,1.0
7,3.936719998213356,-14.278,7,0.5714285714285714
8,3.9957599982184537,-14.282,4,1.0
9,4.009919998210329,-14.281,6,0.7333333333333333
10,4.023839998205325,-14.283,3,1.0
11,4.047599998208689,-14.281,6,0.6
12,4.054319998199269,-14.291,2,1.0
13,4.095599998205294,-14.266,10,0.37777777777777777
14,4.15991999820627,-14.275,6,0.5333333333333333
15,4.165919998206469,-14.282,3,1.0
16,4.1735999982031515,-14.281,4,0.8333333333333334
17,4.200239998202996,-14.281,3,1.0
18,4.21727999821173,-14.266,12,0.4090909090909091
19,4.221359998213067,-14.271,7,0.7142857142857143
20,4.227359998216549,-14.283,2,1.0
21,4.239599998201719,-14.276,8,0.7142857142857143
22,4.248239998201093,-14.279,6,0.9333333333333333
23,4.265279998218311,-14.28,7,0.9047619047619048
24,4.273439998208282,-14.28,6,0.9333333333333333
25,4.303199998202594,-14.268,12,0.4090909090909091
26,4.3065599982024665,-14.29,2,1.0
27,4.31351999820199,-14.28,4,0.6666666666666666
28,4.329119998198543,-14.275,4,0.8333333333333334
29,4.3391999982091605,-14.274,5,0.7
30,4.397999998204675,-14.284,3,1.0
31,4.425359998204023,-14.282,4,0.8333333333333334
32,4.448399998190403,-14.215,50,0.10775510204081633
33,4.477439998221833,-14.29,2,1.0
34,4.481279998201224,-14.285,4,0.6666666666666666
35,4.489679998206107,-14.284,3,1.0
36,4.520159998207042,-14.276,4,0.6666666666666666
37,4.532639998209767,-14.274,9,0.4444444444444444
38,4.536959998209603,-14.281,4,0.8333333333333334
39,4.542719998205847,-14.284,3,1.0
40,4.579679998201549,-14.278,7,0.6190476190476191
41,4.627679998209196,-14.281,4,1.0
42,4.62815999819869,-14.277,6,0.7333333333333333
43,4.675439998204276,-14.286,3,1.0
44,4.687439998208212,-14.265,9,0.4166666666666667
45,4.705199998206261,-14.275,3,1.0
46,4.722719998212206,-14.278,3,1.0
47,4.736159998217538,-14.261,21,0.24761904761904763
48,4.744799998218575,-14.274,9,0.5277777777777778
49,4.773839998220332,-14.283,4,1.0
50,4.790159998200188,-14.282,5,0.9
51,4.815119998203166,-14.284,4,1.0
52,4.816559998206863,-14.276,8,0.5714285714285714
53,4.835279998204193,-14.279,3,1.0
54,4.839839998210756,-14.276,8,0.6071428571428571
55,4.862399998197624,-14.277,4,1.0
56,4.864799998199409,-14.276,9,0.4722222222222222
57,4.904159998212712,-14.292,2,1.0
58,4.909439998209017,-14.285,4,0.6666666666666666
59,4.928879998198475,-14.284,4,0.8333333333333334
60,4.961759998218035,-14.266,24,0.2898550724637681
61,4.9696799982162005,-14.282,2,1.0
62,4.981439998201687,-14.275,7,0.5714285714285714
63,5.008319998200882,-14.279,4,0.8333333333333334
64,5.024639998201202,-14.282,3,1.0
65,5.045519998212903,-14.275,9,0.4444444444444444
66,5.052719998213185,-14.278,4,1.0
67,5.090879998207008,-14.281,4,1.0
68,5.119919998208765,-14.283,4,1.0
69,5.119919998220446,-14.274,15,0.3619047619047619
70,5.121119998190942,-14.283,4,1.0
71,5.138159998214384,-14.284,4,1.0
72,5.189759998208679,-14.281,4,1.0
73,5.19719999820601,-14.274,14,0.4725274725274725
74,5.232719998206967,-14.28,2,1.0
75,5.254319998205936,-14.275,11,0.7090909090909091
76,5.295839998216813,-14.276,11,0.7272727272727273
77,5.316959998217975,-14.277,9,0.6388888888888888
78,5.362079998211449,-14.292,2,1.0
79,5.364959998206309,-14.279,7,0.5714285714285714
80,5.380079998205993,-14.286,2,1.0
81,5.404319998217012,-14.277,14,0.5274725274725275
82,5.425679998200302,-14.28,7,0.6190476190476191
83,5.428319998210476,-14.283,2,1.0
84,5.434799998206351,-14.28,8,0.5714285714285714
85,5.4371999982161086,-14.284,4,0.8333333333333334
86,5.503439998212109,-14.279,7,0.6190476190476191
87,5.506079998217423,-14.276,14,0.45054945054945056
88,5.507279998211537,-14.281,2,1.0
89,5.52167999821129,-14.273,17,0.4338235294117647
90,5.539199998211394,-14.28,2,1.0
91,5.559839998202001,-14.272,17,0.40441176470588236
92,5.5672799982026575,-14.281,5,0.8
93,5.577839998209207,-14.285,3,1.0
94,5.600879998203901,-14.278,6,0.6666666666666666
95,5.616719998207991,-14.278,4,0.6666666666666666
96,5.634959998216253,-14.283,2,1.0
97,5.642879998192633,-14.273,11,0.4
98,5.6452799982065685,-14.274,4,0.8333333333333334
99,5.7071999982044375,-14.278,4,0.6666666666666666
100,5.714399998198665,-14.28,2,1.0
101,5.7213599981975065,-14.269,23,0.2490118577075099
102,5.730719998210965,-14.286,2,1.0
103,5.73767999821812,-14.28,5,0.7
104,5.744159998210542,-14.281,4,1.0
105,5.787839998207438,-14.276,9,0.6111111111111112
106,5.810639998207002,-14.281,7,0.6190476190476191
107,5.827439998211567,-14.287,2,1.0
108,5.839439998222794,-14.281,7,0.6666666666666666
109,5.863439998207944,-14.278,5,0.9
110,5.864639998221328,-14.276,8,0.6428571428571429
111,5.878799998212138,-14.282,2,1.0
112,5.88407999821829,-14.274,9,0.4722222222222222
113,5.928239998207793,-14.276,4,0.8333333333333334
114,5.957279998214794,-14.279,3,1.0
115,5.961599998208321,-14.276,8,0.4642857142857143
116,5.975039998194127,-14.281,3,1.0
117,5.981519998214388,-14.282,3,1.0
118,6.0136799982103994,-14.227,58,0.10526315789473684
119,6.044159998202851,-14.287,2,1.0
120,6.054239998213468,-14.281,4,0.6666666666666666
121,6.066479998219997,-14.28,3,1.0
122,6.078719998215867,-14.276,9,0.4444444444444444
123,6.087119998211115,-14.289,2,1.0
124,6.119759998212352,-14.28,6,0.7333333333333333
125,6.159599998211057,-14.278,5,1.0
126,6.176639998219407,-14.277,5,1.0
127,6.206159998204477,-14.27,19,0.36257309941520466
128,6.206879998205473,-14.281,2,1.0
129,6.216959998203684,-14.277,10,0.5777777777777777
130,6.232319998210606,-14.282,3,1.0
131,6.237119998207781,-14.278,11,0.5818181818181818
132,6.245759998218794,-14.281,4,1.0
133,6.272159998196521,-14.28,7,0.8095238095238095
134,6.300239998206543,-14.28,10,0.6222222222222222
135,6.301199998214905,-14.285,4,1.0
136,6.311999998217821,-14.285,4,1.0
137,6.332639998207831,-14.281,8,0.6428571428571429
138,6.347999998213432,-14.276,16,0.43333333333333335
139,6.373679998208367,-14.282,2,1.0
140,6.385439998216363,-14.278,6,0.7333333333333333
141,6.411119998213643,-14.277,11,0.6727272727272727
142,6.432239998200863,-14.284,6,0.7333333333333333
143,6.4355999982044025,-14.288,2,1.0
144,6.48143999820288,-14.28,9,0.5833333333333334
145,6.502319998202729,-14.288,2,1.0
146,6.5299199981983165,-14.28,9,0.6944444444444444
147,6.5704799982011295,-14.281,5,1.0
148,6.598319998207536,-14.27,14,0.4945054945054945
149,6.607919998205553,-14.279,3,1.0
150,6.61223999820475,-14.282,3,1.0
151,6.61847999822519,-14.267,26,0.24615384615384617
152,6.623999998204219,-14.28,2,1.0
153,6.625199998217859,-14.278,11,0.4909090909090909
154,6.6299999982031395,-14.282,3,1.0
155,6.635759998210595,-14.28,6,0.8
156,6.636719998199389,-14.28,6,0.9333333333333333
157,6.658799998220509,-14.28,6,0.8666666666666667
158,6.67583999821526,-14.28,5,0.7
159,6.6796799982052235,-14.281,2,1.0
160,6.6851999982079136,-14.276,10,0.5555555555555556
161,6.703199998199175,-14.275,6,0.8666666666666667
162,6.731519998215454,-14.274,7,0.7142857142857143
163,6.7377599981987615,-14.276,4,0.8333333333333334
164,6.779759998197683,-14.276,5,0.8
165,6.786719998185696,-14.269,12,0.4090909090909091
166,6.827039998205358,-14.284,2,1.0
167,6.839759998207306,-14.274,5,0.6
168,6.8464799982143845,-14.279,3,1.0
169,6.913439998214791,-14.272,5,0.7
170,6.925439998219581,-14.216,72,0.08763693270735524
171,6.9395999982183625,-14.282,5,0.7
172,6.964079998211467,-14.284,3,1.0
173,6.972719998213016,-14.278,4,0.8333333333333334
174,6.979679998209768,-14.276,6,0.5333333333333333
175,6.980639998218685,-14.288,2,1.0
176,6.986399998204526,-14.278,5,0.6
177,6.990719998216896,-14.282,3,1.0
178,7.000799998202105,-14.272,18,0.33986928104575165
179,7.009679998218651,-14.279,4,1.0
180,7.025759998214717,-14.286,5,0.9
181,7.049519998204609,-14.282,5,0.9
182,7.0718399982184295,-14.274,13,0.5128205128205128
183,7.07303999819856,-14.276,6,0.8
184,7.115039998218457,-14.279,4,0.8333333333333334
185,7.145519998210226,-14.276,12,0.5757575757575758
186,7.151999998214627,-14.28,2,1.0
187,7.162559998218917,-14.277,7,0.7142857142857143
188,7.217039998206793,-14.277,8,0.8571428571428571
189,7.240559998192644,-14.277,10,0.4888888888888889
190,7.251599998220108,-14.284,3,1.0
191,7.257359998215712,-14.286,3,1.0
192,7.25855999821524,-14.282,5,0.6
193,7.286399998221604,-14.28,4,0.8333333333333334
194,7.293599998214212,-14.274,14,0.46153846153846156
195,7.298639998208905,-14.275,3,1.0
196,7.311839998202139,-14.276,6,0.5333333333333333
197,7.316639998210825,-14.278,4,0.8333333333333334
198,7.318799998202174,-14.28,3,1.0
199,7.33679999820307,-14.28,4,0.8333333333333334
200,7.363439998219668,-14.272,19,0.3157894736842105
201,7.410959998208021,-14.277,5,1.0
202,7.447439998201013,-14.276,9,0.5555555555555556
203,7.47191999820695,-14.284,2,1.0
204,7.480319998212558,-14.28,5,0.7
205,7.547519998218242,-14.281,6,0.6666666666666666
206,7.551119998202672,-14.284,2,1.0
207,7.557839998209367,-14.281,7,0.6190476190476191
208,7.598879998207941,-14.271,19,0.3216374269005848
209,7.6029599982149065,-14.28,2,1.0
210,7.613039998211839,-14.275,7,0.6666666666666666
211,7.630319998214254,-14.276,7,0.6666666666666666
212,7.6562399982124205,-14.28,3,1.0
213,7.656959998214525,-14.278,5,0.6
214,7.66871999820048,-14.28,2,1.0
215,7.6708799982019755,-14.275,11,0.4727272727272727
216,7.677839998210878,-14.283,2,1.0
217,7.702799998214282,-14.275,11,0.45454545454545453
218,7.704719998209349,-14.278,2,1.0
219,7.710239998212295,-14.277,7,0.5238095238095238
220,7.7291999982016435,-14.279,5,0.8
221,7.729679998224562,-14.281,3,1.0
222,7.769999998206494,-14.279,6,0.6666666666666666
223,7.7879999982127615,-14.273,13,0.34615384615384615
224,7.801199998205057,-14.284,2,1.0
225,7.802159998212311,-14.278,4,0.6666666666666666
226,7.81631999820717,-14.277,3,1.0
227,7.82495999821554,-14.27,17,0.34558823529411764
228,7.8487199982061995,-14.279,3,1.0
229,7.911359998206258,-14.274,6,0.6666666666666666
230,7.944959998218202,-14.276,3,1.0
231,7.96607999822141,-14.275,5,0.8
232,7.966559998209625,-14.268,14,0.3626373626373626
233,7.98767999821991,-14.281,2,1.0
234,8.028479998204979,-14.269,13,0.47435897435897434
235,8.049599998217694,-14.282,3,1.0
236,8.091839998211917,-14.283,4,0.6666666666666666
237,8.093039998199806,-14.286,2,1.0
238,8.104319998199166,-14.272,14,0.46153846153846156
239,8.11799999820402,-14.273,13,0.44871794871794873
240,8.133839998205126,-14.278,5,0.8
241,8.145599998217001,-14.281,3,1.0
242,8.149199998212133,-14.278,7,0.6666666666666666
243,8.156639998219227,-14.279,5,0.9
244,8.21423999821419,-14.279,5,0.8
245,8.216639998198751,-14.275,14,0.42857142857142855
246,8.219519998204227,-14.281,5,0.9
247,8.221439998221676,-14.281,5,0.9
248,8.2696799982129,-14.279,5,0.7
249,8.272079998218096,-14.282,2,1.0
250,8.288159998213906,-14.275,12,0.5151515151515151
251,8.305679998219212,-14.275,9,0.7222222222222222
252,8.358239998202642,-14.278,2,1.0
253,8.36255999821335,-14.275,9,0.6944444444444444
254,8.417279998218355,-14.275,8,0.6071428571428571
255,8.41799999821935,-14.282,2,1.0
256,8.423039998210122,-14.268,17,0.3897058823529412
257,8.456879998221545,-14.28,5,0.7
258,8.464319998216105,-14.284,2,1.0
259,8.467439998203965,-14.278,5,0.7
260,8.494559998207073,-14.271,11,0.43636363636363634
261,8.500799998213914,-14.277,5,0.8
262,8.513519998207762,-14.286,4,1.0
263,8.526239998201781,-14.281,4,1.0
264,8.536079998206098,-14.274,9,0.5277777777777778
265,8.566799998213547,-14.28,4,1.0
266,8.593439998208318,-14.278,8,0.6785714285714286
267,8.605439998220909,-14.282,5,0.9
268,8.63135999821187,-14.282,5,0.9
269,8.647199998204961,-14.275,8,0.5357142857142857
270,8.649599998207172,-14.27,11,0.4727272727272727
271,8.680319998199273,-14.281,2,1.0
272,8.697359998194152,-14.214,93,0.06311360448807854
273,8.69999999820002,-14.275,8,0.6071428571428571
274,8.729759998228012,-14.283,3,1.0
275,8.7434399982072,-14.28,6,0.8
276,8.762879998218402,-14.282,5,1.0
277,8.780879998219937,-14.282,5,1.0
278,8.789999998216778,-14.274,10,0.5333333333333333
279,8.828159998215462,-14.285,3,1.0
280,8.848559998203562,-14.276,7,0.6190476190476191
281,8.849039998201583,-14.279,2,1.0
282,8.890079998212691,-14.276,8,0.5357142857142857
283,8.941679998221481,-14.287,4,0.6666666666666666
