star_name,avg_degree,avg_clust_coeff
OGLE-TR-1001,6.07830233,0.750535827
OGLE-TR-1002,6.263953254,0.753843396
OGLE-TR-1003,6.297344421,0.751603331
OGLE-TR-1004,6.094278807,0.750152374
OGLE-TR-1005,6.319903304,0.751784796
OGLE-TR-1006,6.227513582,0.750068422
OGLE-TR-1007,5.987261146,0.749845594
OGLE-TR-1008,6.310854117,0.752939944
OGLE-TR-1009,6.184003761,0.751741824
OGLE-TR-1010,6.111523142,0.750640466
OGLE-TR-1011,6.242412033,0.75256343
OGLE-TR-1012,6.248593066,0.750293191
OGLE-TR-1013,6.357595363,0.751755206
OGLE-TR-1014,6.746378755,0.758876199
OGLE-TR-1015,6.212596834,0.749787822
OGLE-TR-1016,6.26964021,0.752621117
OGLE-TR-1017,6.119415626,0.748480424
OGLE-TR-1018,6.288607595,0.753011749
OGLE-TR-1019,6.127860937,0.751462506
OGLE-TR-1020,6.122030741,0.750032606
OGLE-TR-1021,6.245841393,0.750780425
OGLE-TR-1022,6.163194444,0.749897026
OGLE-TR-1023,6.264318885,0.75122436
OGLE-TR-1024,6.355727405,0.753168022
OGLE-TR-1025,6.199825902,0.752743869
OGLE-TR-1026,6.3302042,0.751394599
OGLE-TR-1027,6.288396386,0.750835371
OGLE-TR-1028,6.007377767,0.749508443
OGLE-TR-1029,6.209186221,0.751350454
OGLE-TR-1030,6.422331501,0.751663722
OGLE-TR-1031,6.125452812,0.750724735
OGLE-TR-1032,6.188894254,0.750542181
OGLE-TR-1033,6.259289327,0.752658951
OGLE-TR-1034,6.205237221,0.752128542
OGLE-TR-1035,6.554455446,0.756908024
OGLE-TR-1036,5.973090223,0.749658604
OGLE-TR-1037,6.300893551,0.751618346
OGLE-TR-1038,5.794031597,0.746177837
OGLE-TR-1039,6.13942641,0.748165676
OGLE-TR-1040,6.213286713,0.749293323
OGLE-TR-1041,6.284783562,0.750764691
OGLE-TR-1042,6.237643535,0.752057378
OGLE-TR-1043,6.370807153,0.753544063
OGLE-TR-1044,6.338362069,0.758597097
OGLE-TR-1045,6.071289695,0.749256475
OGLE-TR-1046,6.288629407,0.751617087
OGLE-TR-1047,6.273069135,0.751361207
OGLE-TR-1048,6.185921143,0.753986636
OGLE-TR-1049,6.160671232,0.750659806
OGLE-TR-1050,6.025080345,0.750224855
OGLE-TR-1051,6.256474572,0.752973558
OGLE-TR-1052,6.291371457,0.752463456
OGLE-TR-1053,6.114808761,0.748936759
OGLE-TR-1054,6.109519546,0.750945152
OGLE-TR-1055,6.250443824,0.751388139
OGLE-TR-1056,6.186746988,0.751748772
OGLE-TR-1057,6.104937076,0.749158416
OGLE-TR-1058,6.176017602,0.75098721
OGLE-TR-1059,6.264271226,0.750586604
OGLE-TR-1060,6.231944444,0.750924204
OGLE-TR-1061,6.119797744,0.750990239
OGLE-TR-1062,6.20774206,0.751793681
OGLE-TR-1063,6.221456323,0.753552974
OGLE-TR-1064,6.363087653,0.753168816
OGLE-TR-1065,6.153857022,0.750791083
OGLE-TR-1066,6.176906257,0.751575268
OGLE-TR-1067,6.111095406,0.751208295
OGLE-TR-1068,6.178842202,0.757950898
OGLE-TR-1069,6.25062546,0.752455454
OGLE-TR-1070,6.186683133,0.751353876
OGLE-TR-1071,6.128230815,0.747521888
OGLE-TR-1072,6.2114082,0.751046939
OGLE-TR-1073,6.278357788,0.751664672
OGLE-TR-1074,6.267390373,0.750774252
OGLE-TR-1075,6.301932027,0.752815799
OGLE-TR-1076,5.882165097,0.747400275
OGLE-TR-1077,6.204275534,0.752519981
OGLE-TR-1078,6.218582321,0.752641256
OGLE-TR-1079,6.274896142,0.75055506
OGLE-TR-1080,6.293735892,0.752087698
OGLE-TR-1081,6.295465764,0.752762812
OGLE-TR-1082,6.14361514,0.750717437
OGLE-TR-1083,6.08363303,0.750785316
OGLE-TR-1084,6.101862302,0.751984519
OGLE-TR-1085,6.330861058,0.752500842
OGLE-TR-1086,6.203726004,0.75175726
OGLE-TR-1087,6.318527919,0.751457988
OGLE-TR-1088,6.177395473,0.749966435
OGLE-TR-1089,6.212708018,0.749602623
OGLE-TR-1090,6.494391534,0.753870571
OGLE-TR-1091,6.240705467,0.751539689
OGLE-TR-1092,6.287237067,0.751096192
OGLE-TR-1093,6.331701615,0.752580767
OGLE-TR-1094,6.159644294,0.74973844
OGLE-TR-1095,6.26389203,0.750388594
OGLE-TR-1096,6.166961193,0.749746561
OGLE-TR-1097,6.284666385,0.752472098
OGLE-TR-1098,6.233345441,0.75271965
OGLE-TR-1099,6.246206454,0.75165084
OGLE-TR-10,5.914942529,0.747803025
OGLE-TR-56,5.953279425,0.750638538
OGLE-TR-111,5.807823129,0.750773454
OGLE-TR-132,5.783524904,0.745102454
OGLE-TR-211,5.866815893,0.748502261
