,intercept,slope,sum_of_square_of_fit_errors,sum_of_square_of_all_errors,start_point,points_from_start_point
OGLE-TR-1001,-1.2965485354602646,-0.2180740690519327,1.067190087360565,4839.0495676293685,,
OGLE-TR-1002,-1.325592998982847,-0.212436321368679,0.8730916614771491,9191.988171720244,,
OGLE-TR-1003,-1.3163882650966117,-0.21249300891503,0.7896936766766686,19938.333600911967,,
OGLE-TR-1004,-1.2961988102157214,-0.2177615454808959,1.1346677744021685,6300.632187475201,,
OGLE-TR-1005,-1.3381168785751747,-0.2107675121126168,0.9649608652326636,13022.939322173996,,
OGLE-TR-1006,-1.3276937689612078,-0.211758444198741,0.7405337586107962,10949.987325337195,,
OGLE-TR-1007,-1.208798485934461,-0.2265553183216091,0.4870301437887617,555.9705020405008,,
OGLE-TR-1008,-1.3202340394042245,-0.2118402652188599,0.5953741435111404,7184.887581816813,,
OGLE-TR-1009,-1.353509763438907,-0.2105947349473512,0.9980353539640368,14345.548654813396,,
OGLE-TR-1010,-1.299921631961774,-0.2168162631991733,0.7870742571760574,9347.350004563512,,
OGLE-TR-1011,-1.3114496461472385,-0.2139528072393612,0.731009626866574,17832.24791710837,,
OGLE-TR-1012,-1.321036583382288,-0.213740656431783,0.9767235201210472,12194.562374590245,,
OGLE-TR-1013,-1.3239139240928184,-0.2129956490194317,0.8316772059303946,29470.89346250128,,
OGLE-TR-1014,-1.275615207563845,-0.2125865903024625,0.3821596422049368,5529.5503566238585,,
OGLE-TR-1015,-1.2910065847033283,-0.2164811016449714,0.6626446308682337,9959.642754327086,,
OGLE-TR-1016,-1.314453083379753,-0.2137499292051365,0.7951905588039166,18696.89739790545,,
OGLE-TR-1017,-1.3031710822868816,-0.2161539318739528,0.7744983822252027,11385.2177862057,,
OGLE-TR-1018,-1.377068382873994,-0.2065003491866355,1.192622240502783,12007.229541359737,,
OGLE-TR-1019,-1.240250504079521,-0.2231819688627439,1.690971930340993,3244.7841179295992,,
OGLE-TR-1020,-1.337709387386008,-0.2129018085879456,1.047214173995542,6735.220270735703,,
OGLE-TR-1021,-1.3125552731101504,-0.2147090767758263,0.8911257710493229,19992.246057725824,,
OGLE-TR-1022,-1.265329605488008,-0.2211023182770747,0.9452984846776448,6982.672486819513,,
OGLE-TR-1023,-1.3628619792212904,-0.2078725043116363,0.9339576071095044,6970.657533041248,,
OGLE-TR-1024,-1.3696500320360108,-0.2059069293984128,0.9064287478497868,8390.390930053816,,
OGLE-TR-1025,-1.2865978461256642,-0.2176183080651756,0.758636668111326,7516.181448216059,,
OGLE-TR-1026,-1.3165731058569698,-0.2129603035992508,0.9334307633147512,7293.885094002492,,
OGLE-TR-1027,-1.289565118189291,-0.2154205905015977,0.5178773059756219,11246.04487278014,,
OGLE-TR-1028,-1.2971045885783108,-0.2179110779396114,0.828000123257364,2551.849385856078,,
OGLE-TR-1029,-1.37312384296638,-0.2077159108851837,1.1133013985878892,8042.014111861525,,
OGLE-TR-1030,-1.380255511103344,-0.2048639927751128,1.031790676707379,15605.615745375024,,
OGLE-TR-1031,-1.278897472383991,-0.2182887518240041,0.8069206870243075,5932.04765632722,,
OGLE-TR-1032,-1.337108097505516,-0.2130616998285143,1.2081710967670114,8214.398429666762,,
OGLE-TR-1033,-1.3381157549268077,-0.2107594230009399,0.7919947748840336,10951.827920774847,,
OGLE-TR-1034,-1.318572047518514,-0.2124957116236954,0.7521002369242415,11686.323571893976,,
OGLE-TR-1035,-1.15889574907761,-0.2299122044888278,0.8573386060713188,1602.554157342913,,
OGLE-TR-1036,-1.2415100161425947,-0.2236414996470615,1.056172927792738,1293.8248353519934,,
OGLE-TR-1037,-1.29153696464079,-0.2154821824891268,0.6618212332735504,7701.596971778057,,
OGLE-TR-1038,-1.2464767648737105,-0.226326974667019,1.5762328604106894,76.02890381198553,,
OGLE-TR-1039,-1.257212605615424,-0.2205446524403614,0.500109112112654,10561.332611160156,,
OGLE-TR-1040,-1.292061375339745,-0.2166815164902004,0.8505534990618613,17128.87732971493,,
OGLE-TR-1041,-1.2627530725010283,-0.2188799795719089,0.5547272103301413,23574.34804568716,,
OGLE-TR-1042,-1.3138829380845352,-0.2137933664923949,0.8873049679738483,7580.72002749401,,
OGLE-TR-1043,-1.2614965297174965,-0.217401471315828,0.4500044405925515,4738.367794677062,,
OGLE-TR-1044,-1.463255538154584,-0.1979298537997269,2.7213904815172514,113.1580499055687,,
OGLE-TR-1045,-1.0493421895554174,-0.2447386248212155,2.280538895594578,334.4566135184636,,
OGLE-TR-1046,-1.3539650501954736,-0.2083165298263172,1.1283260848756127,4390.988713182226,,
OGLE-TR-1047,-1.275298434292606,-0.2174566820225795,0.520285275798615,7791.931142736816,,
OGLE-TR-1048,-1.3489385954817723,-0.2099101125898191,1.0417715584957552,3557.151471848386,,
OGLE-TR-1049,-1.3105995866777231,-0.215534647665519,1.1582465130848016,3185.005868543344,,
OGLE-TR-1050,-1.2950678396526851,-0.2171633757707509,0.7857743287430106,3428.227300594934,,
OGLE-TR-1051,-1.3398278679380355,-0.2102044749879575,0.8962662755777296,14975.356835998236,,
OGLE-TR-1052,-1.3104470000431456,-0.2134427689438341,0.8441040958170118,13101.828169262551,,
OGLE-TR-1053,-1.348270800676004,-0.2113407904617417,1.0722455186759192,10936.523348672665,,
OGLE-TR-1054,-1.2340030388980707,-0.2235300567924768,0.8898172060883516,2030.3764296404404,,
OGLE-TR-1055,-1.3783213702959465,-0.2071534457809032,1.1283769618581123,16274.518309974064,,
OGLE-TR-1056,-1.2831603155936435,-0.2175416323906672,0.6512309920615721,7846.461007140639,,
OGLE-TR-1057,-1.262590503127962,-0.2204016841689076,1.45398073530263,3106.3845893484577,,
OGLE-TR-1058,-1.2408053055607826,-0.2233766559227861,0.7232347511274038,7954.201980024904,,
OGLE-TR-1059,-1.295944034529663,-0.2158078984165641,0.7788846495946755,9158.746620273643,,
OGLE-TR-1060,-1.3030818244739075,-0.2150446289174702,1.3686902832308754,5958.116387410848,,
OGLE-TR-1061,-1.339775747191294,-0.2131471238186861,1.1596042781685425,2835.4392383703625,,
