,intercept,slope,sum_of_square_of_fit_errors,sum_of_square_of_all_errors,start_point,points_from_start_point
OGLE-TR-1001,2.9830429623166084,-2.898264737485011,0.5347255358682571,11.066884746614464,1.75,3.38
OGLE-TR-1002,2.733816642233755,-2.799894482357239,0.7861992144685023,9.781302410950344,3.0,27.0
OGLE-TR-1003,2.946967074134183,-2.9220834267968487,4.316498707805598,12.788488210686396,2.0,33.0
OGLE-TR-1004,2.5598085840194544,-2.709973371802354,0.1327323314810775,8.32872898836523,4.0,15.0
OGLE-TR-1005,2.220920781003066,-2.572678340094067,0.239169687319277,6.626153416145607,3.0,20.0
OGLE-TR-1006,2.5758162489185343,-2.707769648711247,0.1878258719988803,8.573016033709514,4.0,19.0
OGLE-TR-1007,2.199799555699484,-2.5707958094733283,0.2158207653022987,6.242769926351514,3.0,17.0
OGLE-TR-1008,4.114456995346374,-3.311374175623658,1.8358130761687308,22.59470100034324,5.0,30.0
OGLE-TR-1009,2.036050082266857,-2.498607406216439,0.0817039576555891,5.550324043335036,3.0,16.0
OGLE-TR-1010,2.187513281824169,-2.5672468745909875,0.199255690948035,6.16586227322308,1.57,3.06
OGLE-TR-1011,2.767416121329224,-2.8165309564680405,1.2598660869914076,10.001089767412328,1.573,3.38
OGLE-TR-1012,3.10918293876506,-2.961095569099583,2.161635473063784,12.329511506792883,1.54,3.56
OGLE-TR-1013,2.6216809820385696,-2.7519199263481844,0.6030428236596852,9.022390617356116,1.58,3.5
OGLE-TR-1014,3.6571192305604208,-3.123609661898334,1.3302906381536397,18.529210004343764,1.76,3.44
OGLE-TR-1015,3.0766049612610606,-2.9505785295685247,1.900378276864584,12.667583066386785,1.586,3.591
OGLE-TR-1016,2.667406917828877,-2.770470023145108,0.5497501472819035,9.156447691984315,1.578,3.345
OGLE-TR-1017,2.679473367992356,-2.786986183141055,0.8008470832644665,8.927829367086149,1.587,3.346
OGLE-TR-1018,3.032367055244305,-2.9203471947586794,3.091489822598984,13.82305840860108,1.573,3.571
OGLE-TR-1019,3.0353558806646728,-2.914781800263898,1.6390179555812785,11.627985128812515,1.77,3.271
OGLE-TR-1020,2.4978349881036435,-2.6898749279063194,0.1482785391846895,7.836342238829454,1.765,3.189
OGLE-TR-1021,2.330318086760007,-2.630367787948478,0.4340784684412688,7.167122738718196,1.582,3.192
OGLE-TR-1022,3.200700048782963,-2.969728202911066,0.8552235568449227,13.19082155317556,1.904,3.414
OGLE-TR-1023,3.161283961946173,-2.9318821737659824,0.5928056844260521,12.85645893373687,1.914,3.41
OGLE-TR-1024,2.9831193974387302,-2.85271961192378,0.2744974671958102,11.727110681906993,1.919,3.348
OGLE-TR-1025,2.673282704433018,-2.7552776445127902,0.2853062892794659,9.157985840967012,1.751,3.145
OGLE-TR-1026,2.73733051208689,-2.7747668538087145,0.4660097487239553,9.821639994687375,1.752,3.272
OGLE-TR-1027,3.232700632231225,-2.963760197506326,0.4769933674049311,13.392829308663828,1.903,3.346
OGLE-TR-1028,3.61518337066622,-3.1354710302378552,0.546543086816514,16.115491943668722,1.924,3.512
