Degree,Log(Probability)
2,-1.7413690712239511
3,-1.7054181326422424
4,-1.8649512709099973
5,-2.198423914317259
6,-2.4823012897253762
7,-2.7386918710381427
8,-3.1077503888573816
9,-3.4007039548026747
10,-3.5608627813479248
11,-3.91435244565137
12,-4.108760889728907
13,-4.212691812577138
14,-4.529361421902172
15,-4.74761498792219
16,-5.0271998501413515
17,-5.311304101245248
18,-5.093891224640024
19,-5.325692838697348
20,-5.647776337866461
21,-5.60855562471318
22,-5.775609709376346
23,-6.340923518426407
24,-6.263962477290279
25,-6.424305127365458
26,-6.515276905571184
27,-6.6153603641281675
28,-6.726585999238392
29,-7.074892693506607
30,-7.161904070496237
31,-6.669427585398443
32,-7.950361430860507
33,-6.994849985833071
34,-8.173504982174716
35,-8.866652162734662
36,-7.950361430860507
37,-8.173504982174716
38,-7.950361430860507
39,-8.866652162734662
40,-8.461187054626498
41,-7.950361430860507
42,-7.768039874066552
43,-9.559799343294607
44,-8.461187054626498
45,-9.559799343294607
46,-8.173504982174716
49,-9.559799343294607
51,-8.461187054626498
52,-9.559799343294607
53,-8.461187054626498
56,-9.559799343294607
57,-9.559799343294607
60,-9.559799343294607
62,-9.559799343294607
63,-9.559799343294607
66,-8.866652162734662
67,-9.559799343294607
69,-9.559799343294607
70,-8.461187054626498
71,-9.559799343294607
82,-9.559799343294607
89,-9.559799343294607
91,-9.559799343294607
108,-9.559799343294607
112,-9.559799343294607
113,-9.559799343294607
116,-9.559799343294607
124,-9.559799343294607
139,-9.559799343294607
163,-9.559799343294607
229,-9.559799343294607
245,-9.559799343294607
312,-9.559799343294607
