star_name,avg_degree,avg_clust_coeff
OGLE-TR-1001,6.097320169,0.750965539
OGLE-TR-1002,6.004761905,0.756521299
OGLE-TR-1003,6.276975361,0.755351004
OGLE-TR-1004,6.182692308,0.746482308
OGLE-TR-1005,6.247933884,0.749928249
OGLE-TR-1006,6.210526316,0.750805511
OGLE-TR-1007,5.88761175,0.746739021
OGLE-TR-1008,5.622119816,0.740373908
OGLE-TR-1009,6.041791045,0.741972582
OGLE-TR-1010,6.059500198,0.75078661
OGLE-TR-1011,5.697508897,0.746705869
OGLE-TR-1012,5.892940264,0.746899829
OGLE-TR-1013,5.589928058,0.742860525
OGLE-TR-1014,6.947658402,0.762916324
OGLE-TR-1015,6.017241379,0.744162128
OGLE-TR-1016,6.044444444,0.74481866
OGLE-TR-1017,6.158730159,0.753333094
OGLE-TR-1018,6.12755102,0.75408959
OGLE-TR-1019,6.023323615,0.743250567
OGLE-TR-1020,6.480620155,0.739577765
OGLE-TR-1021,7.043478261,0.736695743
OGLE-TR-1022,6.036231884,0.750584935
OGLE-TR-1023,6.531328321,0.75040719
OGLE-TR-1024,6.334142788,0.752925523
OGLE-TR-1025,5.953861585,0.749467802
OGLE-TR-1026,6.239631336,0.748729814
OGLE-TR-1027,6.170918367,0.747978383
OGLE-TR-1028,5.944208882,0.74921718
OGLE-TR-1029,6.335954253,0.754080888
OGLE-TR-1030,6.323624595,0.754728517
OGLE-TR-1031,5.858736059,0.74793939
OGLE-TR-1032,6.163873371,0.752354374
OGLE-TR-1033,5.962121212,0.744402943
OGLE-TR-1034,6.391724138,0.752453143
OGLE-TR-1035,6.607142857,0.740464745
OGLE-TR-1036,5.990600145,0.753300052
OGLE-TR-1037,6.224806202,0.754771209
OGLE-TR-1038,5.538461538,0.750705854
OGLE-TR-1039,5.808823529,0.750928285
OGLE-TR-1040,6.662790698,0.748722047
OGLE-TR-1041,6.356796117,0.749309957
OGLE-TR-1042,6.246764452,0.748939202
OGLE-TR-1043,6.305263158,0.749279847
OGLE-TR-1044,7.649122807,0.766288833
OGLE-TR-1045,6.429752066,0.737984764
OGLE-TR-1046,6.752212389,0.754419398
OGLE-TR-1047,6.314990512,0.751455542
OGLE-TR-1048,6.020637899,0.753670605
OGLE-TR-1049,5.943243243,0.74833501
OGLE-TR-1050,5.968337731,0.751156333
OGLE-TR-1051,6.253715866,0.752922201
OGLE-TR-1052,6.105177334,0.749946766
OGLE-TR-1053,6.094358974,0.753497606
OGLE-TR-1054,5.907235622,0.745887214
OGLE-TR-1055,6.114318707,0.750395026
OGLE-TR-1056,5.874673629,0.748595007
OGLE-TR-1057,6.176160843,0.747041064
OGLE-TR-1058,5.717647059,0.746681399
OGLE-TR-1059,6.355316285,0.748711941
OGLE-TR-1060,6.0591133,0.748870353
OGLE-TR-1061,6.286590038,0.750537772
OGLE-TR-1062,5.96875,0.745832614
OGLE-TR-1063,6.156271419,0.752182543
OGLE-TR-1064,6.423741182,0.755258355
OGLE-TR-1065,6.186932849,0.750150607
OGLE-TR-1066,6.116376725,0.75109584
OGLE-TR-1067,6.048861743,0.750491769
OGLE-TR-1068,6.149478563,0.75970863
OGLE-TR-1069,6.03500761,0.750949599
OGLE-TR-1070,6.232520325,0.755273355
OGLE-TR-1071,6.001803427,0.744897529
OGLE-TR-1072,6.13150289,0.753220292
OGLE-TR-1073,6.180963572,0.751723437
OGLE-TR-1074,6.346093009,0.752422458
OGLE-TR-1075,6.281995662,0.742981941
OGLE-TR-1076,5.831081081,0.747013804
OGLE-TR-1077,5.961165049,0.745142136
OGLE-TR-1078,6.420289855,0.754562995
OGLE-TR-1079,6.278637771,0.751698476
OGLE-TR-1080,6.27652293,0.750839374
OGLE-TR-1081,6.308943089,0.754760928
OGLE-TR-1082,6.165835411,0.74976146
OGLE-TR-1083,5.815295815,0.745938095
OGLE-TR-1084,6.726457399,0.744021494
OGLE-TR-1085,6.378217822,0.750875879
OGLE-TR-1086,6.158818098,0.748728219
OGLE-TR-1087,6.28511822,0.7502938
OGLE-TR-1088,6.471042471,0.74640287
OGLE-TR-1089,5.52173913,0.733693167
OGLE-TR-1090,6.06779661,0.748937879
OGLE-TR-1091,6.247619048,0.73951468
OGLE-TR-1092,6.151305274,0.749522444
OGLE-TR-1093,6.107366771,0.75468216
OGLE-TR-1094,5.780821918,0.738546556
OGLE-TR-1095,6.55052739,0.752489144
OGLE-TR-1096,6.203133441,0.747219027
OGLE-TR-1097,6.380368098,0.751523271
OGLE-TR-1098,6.257551669,0.753709472
OGLE-TR-1099,5.857401813,0.753772489
OGLE-TR-10,6.338624339,0.740514006
OGLE-TR-56,6.044692737,0.74017077
OGLE-TR-111,6.074074074,0.729235711
OGLE-TR-132,5.868613139,0.740419839
OGLE-TR-211,5.978779841,0.743860225
