Degree,Probability
2,0.16124661246612465
3,0.17073170731707318
4,0.14905149051490515
5,0.1070460704607046
6,0.09349593495934959
7,0.056910569105691054
8,0.044715447154471545
9,0.044715447154471545
10,0.03116531165311653
11,0.025745257452574527
12,0.025745257452574527
13,0.018970189701897018
14,0.012195121951219513
15,0.008130081300813009
16,0.006775067750677507
17,0.006775067750677507
18,0.009485094850948509
19,0.0027100271002710027
21,0.0013550135501355014
23,0.0027100271002710027
25,0.0013550135501355014
26,0.0027100271002710027
27,0.0013550135501355014
28,0.006775067750677507
30,0.0013550135501355014
37,0.0027100271002710027
39,0.0013550135501355014
40,0.0013550135501355014
48,0.0013550135501355014
