Point Number,Degree
0,2
1,9
2,3
3,3
4,7
5,3
6,3
7,6
8,6
9,4
10,6
11,4
12,3
13,8
14,3
15,3
16,21
17,6
18,5
19,3
20,7
21,4
22,8
23,2
24,6
25,4
26,10
27,3
28,5
29,4
30,4
31,23
32,3
33,3
34,14
35,3
36,3
37,9
38,2
39,11
40,3
41,3
42,5
43,3
44,9
45,2
46,3
47,12
48,3
49,3
50,10
51,2
52,3
53,9
54,3
55,3
56,18
57,2
58,4
59,3
60,6
61,6
62,2
63,4
64,9
65,2
66,4
67,2
68,30
69,7
70,3
71,9
72,5
73,4
74,10
75,4
76,5
77,4
78,8
79,11
80,2
81,4
82,3
83,10
84,2
85,6
86,4
87,7
88,3
89,7
90,2
91,35
92,3
93,3
94,6
95,5
96,3
97,5
98,14
99,2
100,6
101,2
102,3
103,9
104,6
105,5
106,5
107,5
108,10
109,4
110,3
111,7
112,15
113,3
114,4
115,5
116,4
117,2
118,7
119,3
120,4
121,2
122,24
123,2
124,6
125,4
126,4
127,6
128,2
129,11
130,4
131,2
132,6
133,4
134,4
135,2
136,5
137,18
138,12
139,2
140,3
141,13
142,3
143,3
144,8
145,2
146,6
147,13
148,3
149,2
150,10
151,2
152,5
153,3
154,5
155,4
156,2
157,7
158,17
159,2
160,3
161,11
162,2
163,5
164,3
165,4
166,10
167,6
168,4
169,3
170,9
171,3
172,2
173,21
174,4
175,3
176,4
177,5
178,19
179,7
180,5
181,5
182,5
183,11
184,2
185,7
186,2
187,6
188,6
189,2
190,18
191,2
192,7
193,2
194,4
195,7
196,2
197,4
198,9
199,2
200,8
201,6
202,4
203,6
204,6
205,6
206,66
207,2
208,9
209,4
210,4
211,7
212,5
213,7
214,3
215,5
216,35
217,4
218,6
219,5
220,6
221,2
222,7
223,12
224,3
225,7
226,5
227,4
228,5
229,6
230,2
231,18
232,2
233,9
234,4
235,5
236,10
237,2
238,12
239,2
240,3
241,3
242,8
243,2
244,3
245,8
246,9
247,23
248,2
249,6
250,7
251,5
252,4
253,6
254,7
255,2
256,16
257,2
258,7
259,3
260,2
261,14
262,2
263,6
264,6
265,3
266,4
267,8
268,2
269,7
270,14
271,2
272,5
273,3
274,3
275,16
276,4
277,6
278,3
279,3
280,6
281,16
282,2
283,3
284,10
285,3
286,3
287,7
288,3
289,2
290,9
291,3
292,2
293,6
294,2
295,5
296,2
297,13
298,2
299,7
300,5
301,10
302,2
303,17
304,3
305,3
306,10
307,4
308,5
309,2
310,9
311,2
312,7
313,4
314,9
315,3
316,3
317,32
318,2
319,8
320,4
321,3
322,4
323,11
324,2
325,3
326,4
327,2
328,7
329,4
330,8
331,15
332,2
333,5
334,3
335,6
336,2
337,7
338,2
339,4
340,3
341,2
342,31
343,5
344,5
345,5
346,5
347,6
348,3
349,9
350,3
351,3
352,11
353,7
354,3
355,6
356,6
357,6
358,9
359,2
360,12
361,4
362,4
363,4
364,9
365,2
366,6
367,2
368,4
369,5
370,2
371,4
372,2
373,12
374,2
375,5
376,2
377,4
378,12
379,6
380,6
381,5
382,8
383,4
384,3
385,7
386,12
387,6
388,2
389,7
390,2
391,6
392,8
393,3
394,5
395,3
396,4
397,16
398,5
399,3
400,6
401,4
402,5
403,7
404,2
405,3
