,intercept,slope,sum_of_square_of_fit_errors,sum_of_square_of_all_errors,start_point,points_from_start_point
OGLE-TR-1001,-0.9997484076325984,-0.254996573573603,0.4458644541010431,491.4376461505432,,
OGLE-TR-1002,-1.128834965973876,-0.2435261210240014,1.5240193470887045,112.30381706189496,,
OGLE-TR-1003,-0.9999667292315692,-0.2575848237384499,0.5085255051227838,1852.6426750989845,,
OGLE-TR-1004,-1.1005014534513624,-0.2427951519680795,1.0355008467674016,776.4900962011835,,
OGLE-TR-1005,-1.1302865121107386,-0.2375497138770544,0.5733285074978867,4686.167709760861,,
OGLE-TR-1006,-1.135178310874326,-0.236277284646505,0.58265071366259,682.1257666833934,,
OGLE-TR-1007,-1.0549895205227486,-0.2499120760731266,0.6541445402995365,206.2068449833743,,
OGLE-TR-1008,-0.8694238333261213,-0.2852193802160797,1.3749623975459433,30.67226199510776,,
OGLE-TR-1009,-0.9134090127954032,-0.2729009090511575,0.7589057990260776,113.82528208162267,,
OGLE-TR-1010,-1.020110942510968,-0.2529371405679576,0.2261918656736937,1696.2777914215449,,
OGLE-TR-1011,-1.101781811206887,-0.2416986207941684,0.7766335546241293,62.48430717182512,,
OGLE-TR-1012,-0.8880730001898645,-0.2759787719371541,0.5915152779162346,636.5639561590615,,
OGLE-TR-1013,-0.6012466700052178,-0.3275115381643166,1.5805970155075066,67.60173985197196,,
OGLE-TR-1014,-1.1363984346484255,-0.2299372599283402,0.540440166080841,793.6167241179562,,
OGLE-TR-1015,-0.9955738439411346,-0.2559745134340433,0.4044876345355467,438.7855088013742,,
OGLE-TR-1016,-1.0217623884759948,-0.2525176259811745,0.0910500144492455,742.1200906307504,,
OGLE-TR-1017,-0.9076456339988144,-0.2718680919737977,0.6584635299937786,368.73053701539845,,
OGLE-TR-1018,-1.0090927980517483,-0.2540060207575292,0.3192635264983954,350.28284738054714,,
OGLE-TR-1019,-1.1661777898289682,-0.2274546921193808,0.8510796392470753,105.06253887198682,,
OGLE-TR-1020,-0.7998023683062583,-0.3079695442596644,2.515652452564813,226.37368538500448,,
OGLE-TR-1021,-1.2564781376049132,-0.2328665448373945,2.533259550693124,91.46434788472185,,
OGLE-TR-1022,-0.9993411118284136,-0.2567997493916917,0.4263550738169237,185.1326092369512,,
OGLE-TR-1023,-1.044115848071538,-0.2492242394058843,0.3013288563742661,708.7386128611174,,
OGLE-TR-1024,-1.1120328832751758,-0.2372824493007308,0.3832127163780246,2154.2007657689223,,
OGLE-TR-1025,-1.093312849392361,-0.2457575191962379,1.0990350155376885,186.78681972139933,,
