,intercept,slope,sum_of_square_of_fit_errors,sum_of_square_of_all_errors,start_point,points_from_start_point
OGLE-TR-1001,2.937892239557801,-2.882131082912303,0.6246901303112967,10.852908858220498,1.786,2.84
OGLE-TR-1002,1.4571370641800208,-2.2628952612074635,1.8220040798671064,4.319504087858622,2.0,16.0
OGLE-TR-1003,2.090014594073122,-2.521481299169092,0.2755092078272887,6.422395171663836,3.0,12.0
OGLE-TR-1004,0.7708006305967631,-1.894494496722955,0.4914674175927698,2.3264981764444324,2.0,11.0
OGLE-TR-1005,1.658938217594473,-2.323092534931326,0.1103318696556997,3.974252916379647,3.0,10.0
OGLE-TR-1006,1.8003294179808065,-2.367683127239492,0.3273165944257675,5.1918889714910845,4.0,14.0
OGLE-TR-1007,1.750020994881662,-2.383370464386185,0.5273679008352807,4.491078965274515,3.0,13.0
OGLE-TR-1008,1.4146828225901389,-2.246351611687428,0.9882037535226408,3.505345846827403,2.0,8.0
OGLE-TR-1009,1.837075732539096,-2.3916256724917586,1.0868895604298756,5.598233200214789,3.0,13.0
OGLE-TR-1021,0.9358487552710212,-2.010187656767209,0.3097255684278757,2.332153605979566,1.586,2.317
OGLE-TR-1051,2.8261788171348323,-2.869724197328744,2.536958941820276,10.909875162018274,2.0,33.0
OGLE-TR-1053,0.8924188711403667,-1.9891812293990183,0.4850146104620884,1.9822444221525024,1.0,12.0
OGLE-TR-1054,-0.0768595722880101,-1.3990217308273707,0.1486566413782374,0.5663574993640415,1.0,8.0
OGLE-TR-1055,1.3107490137017055,-2.225791818449937,0.9228178136424808,3.090432839132218,1.0,17.0
OGLE-TR-1056,0.1108359909899318,-1.503605534289945,0.2035099996333079,0.8036439758349415,1.0,9.0
OGLE-TR-1010,1.6699388816218892,-2.3480010771437447,0.3787492342389223,4.190747271694483,1.353,2.909
OGLE-TR-1011,1.4842215499854532,-2.228292834274016,0.4615317130357586,3.528842863556896,1.54,2.72
OGLE-TR-1012,2.3279003502924898,-2.6541961525917133,1.3110754427753486,7.20195797100958,1.57,3.005
OGLE-TR-1013,0.9924185846830096,-2.0415599598086462,1.0943521042937498,2.6176205539443327,1.0,2.49
OGLE-TR-1014,1.9438615520155824,-2.427509339974005,2.2227786178724904,8.488985459480768,1.361,3.154
OGLE-TR-1015,1.822058515645605,-2.4368571083517576,1.6612658875530009,5.449824037526485,1.347,3.008
OGLE-TR-1016,1.7909785059341083,-2.383908556218471,0.5846763009774277,4.581731609971752,1.554,3.054
OGLE-TR-1017,1.5385495204380777,-2.281199387673061,0.7331202927606197,4.353428433773039,1.364,2.654
OGLE-TR-1018,1.6994051003316386,-2.356797985715308,0.4697086462748794,4.4964391196087625,1.326,2.907
OGLE-TR-1019,1.078206512915548,-2.018219491976309,0.7496029568661655,2.760435291653236,1.584,2.719
OGLE-TR-1020,0.4479392857365177,-1.7099416411014094,0.0839570159409541,0.8351977396931182,1.344,2.322
OGLE-TR-1022,1.669993444164752,-2.3364447046875134,0.2184601040735078,4.435093507040216,1.348,2.724
OGLE-TR-1023,1.5013067472334043,-2.217617607607857,0.4407282151279444,4.084055312890119,1.577,2.841
OGLE-TR-1024,1.9953814520738773,-2.445402681194905,0.3643939085976593,5.954040727864168,1.754,2.955
OGLE-TR-1025,1.234431235076882,-2.144520757199797,0.1639177215422995,2.735801995448364,1.357,2.505
OGLE-TR-1026,2.7168815490843,-2.7631077494877205,0.3839299951068343,9.706522240956156,2.048,3.063
OGLE-TR-1027,1.8177880628113623,-2.3880408945462217,0.6231642161539968,4.974897825497184,1.588,2.846
OGLE-TR-1028,2.4037159762661733,-2.6729614093421894,0.5850333709617589,7.142032521174361,1.567,3.193
OGLE-TR-1029,2.281846375381438,-2.5780034063846564,0.3152452835411736,7.3152855547184785,1.767,3.047
OGLE-TR-1030,3.180486756206897,-3.0862113535811084,0.1875490638301861,10.916152238425056,1.575,2.501
OGLE-TR-1031,1.4952623568053374,-2.227860324775899,0.5768892697865945,3.778166877361535,1.59,2.717
OGLE-TR-1032,1.7006135923711532,-2.335935079788912,0.3871892675386472,4.213098994290425,1.575,2.722
OGLE-TR-1033,1.2152019619674952,-2.071258191458574,0.1051678985503173,2.820813467821896,1.5,2.414
OGLE-TR-1034,1.4563808423497282,-2.2017758783801296,0.2980616145820405,4.04215304786714,1.558,2.903
OGLE-TR-1035,0.8900699149069994,-1.9258789366395648,0.6565361225785582,2.8727253855508907,1.348,2.414
OGLE-TR-1036,2.851669087777973,-2.859089673084423,0.3332038481396435,10.183603089126246,1.758,2.791
OGLE-TR-1037,2.211023740532299,-2.5577576057977853,1.0161346791785952,7.368485804952762,1.542,2.718
OGLE-TR-1038,2.1153853264145663,-2.552323826654364,0.2133094928551865,5.819324007107599,1.59,2.409
OGLE-TR-1039,1.8079084004336656,-2.369588836760085,0.3242749529798731,4.848353754793778,1.573,2.714
OGLE-TR-1040,1.2729771916995236,-2.067754978078839,0.6600048841978597,3.539519585830692,1.748,2.787
OGLE-TR-1041,1.9990232669631969,-2.4646914363750474,0.589851516543298,6.072128412465445,1.762,3.151
OGLE-TR-1042,2.083843434674413,-2.526371426892405,0.8944864749041662,6.354245674555348,1.591,2.906
OGLE-TR-1043,1.9367639861706312,-2.4375708814451458,0.4398822289694239,5.413350212974347,1.586,2.723
OGLE-TR-1044,2.428984998892941,-2.878013107587768,0.1817937914953663,6.8659263574451765,1.353,2.22
OGLE-TR-1045,1.762304437838923,-2.293669115483059,0.468693446019863,5.341938739430303,1.761,2.646
OGLE-TR-1046,1.1364611077508484,-2.0101511574587123,0.2816999504740374,3.229701907276028,1.775,2.647
