Time,Magnitude
-2.7284400003605054,15.384
-2.720520000352364,15.377
-2.720280000364566,15.381
-2.716320000363565,15.383
-2.7064800003514033,15.392
-2.706360000350598,15.377
-2.700120000367205,15.376
-2.6978400003643497,15.375
-2.696760000364945,15.384
-2.696040000364887,15.385
-2.694000000369952,15.388
-2.6920800003603045,15.386
-2.6905200003511975,15.379
-2.6858400003613934,15.384
-2.685000000356778,15.379
-2.6722800003639957,15.386
-2.6718000003510536,15.38
-2.6676000003549216,15.378
-2.6646000003665034,15.381
-2.6566800003488122,15.385
-2.656560000353293,15.388
-2.652600000363206,15.386
-2.6523600003604013,15.377
-2.6502000003605684,15.389
-2.6497200003508663,15.385
-2.646120000354328,15.38
-2.64276000035599,15.381
-2.640960000360961,15.376
-2.6371200003646873,15.384
-2.634600000358345,15.382
-2.629320000367583,15.374
-2.621040000364358,15.384
-2.6172000003670615,15.384
-2.6167200003587237,15.39
-2.6150400003494934,15.377
-2.6049600003693154,15.379
-2.604000000351787,15.381
-2.590440000368373,15.389
-2.5900800003604996,15.37
-2.590080000359647,15.374
-2.5878000003491177,15.378
-2.5686000003607585,15.385
-2.5675200003610126,15.377
-2.5671600003526276,15.375
-2.558520000352102,15.386
-2.5443600003530644,15.39
-2.5369200003537724,15.375
-2.5284000003673537,15.378
-2.526480000353784,15.377
-2.516520000350196,15.372
-2.5018800003632844,15.382
-2.50080000036729,15.376
-2.496120000366913,15.382
-2.484840000365038,15.377
-2.480520000355993,15.386
-2.479680000359904,15.382
-2.473560000358729,15.381
-2.4723600003622703,15.385
-2.4632400003484616,15.38
-2.449200000367112,15.391
-2.4466800003619635,15.394
-2.418720000349081,15.378
-2.3928000003548373,15.368
-2.3922000003535384,15.385
-2.389440000357693,15.381
-2.388840000361169,15.283
-2.3731200003601867,15.375
-2.370840000367563,15.383
-2.364360000355104,15.384
-2.3563200003557068,15.395
-2.3556000003585478,15.379
-2.351520000356059,15.38
-2.351040000365286,15.38
-2.3485200003637186,15.385
-2.347080000352518,15.384
-2.3463600003657614,15.378
-2.3452800003482803,15.378
-2.343840000360954,15.38
-2.3296800003663503,15.381
-2.3282400003744197,15.385
-2.3258400003705884,15.389
-2.3251200003502372,15.385
-2.324640000355201,15.384
-2.319600000367755,15.388
-2.3138400003485327,15.391
-2.3130000003706908,15.385
-2.308560000356577,15.386
-2.3026800003646866,15.381
-2.2999200003545166,15.383
-2.297280000349586,15.382
-2.296200000351716,15.384
-2.2947600003650717,15.386
-2.291640000353679,15.384
-2.2914000003474637,15.386
-2.276040000363393,15.38
-2.272920000356093,15.382
-2.26776000035437,15.376
-2.2609200003485324,15.387
-2.252160000360332,15.375
-2.244720000353025,15.375
-2.2340400003654093,15.381
-2.2340400003568828,15.38
-2.232720000351433,15.38
-2.2239600003560707,15.382
-2.219040000349649,15.382
-2.2101600003674644,15.39
-2.2074000003605345,15.378
-2.206800000359747,15.381
-2.203320000356511,15.386
-2.1970800003442985,15.378
-2.1927600003512833,15.39
-2.1906000003579305,15.385
-2.1820800003691243,15.378
-2.1796800003668277,15.321
-2.1780000003695346,15.385
-2.1703200003531133,15.382
-2.1666000003431503,15.381
-2.163960000366016,15.379
-2.162400000356909,15.378
-2.1518400003643006,15.376
-2.1492000003595404,15.377
-2.146920000347988,15.384
-2.142120000357208,15.373
-2.128200000351425,15.388
-2.1192000003653657,15.383
-2.1106800003704205,15.386
-2.1009600003379187,15.394
-2.1006000003517027,15.383
-2.0996400003699858,15.384
-2.094360000354156,15.381
-2.093640000353586,15.384
-2.092680000370846,15.381
-2.086800000347237,15.391
-2.0749200003664026,15.385
-2.0691600003550246,15.382
-2.0686800003610113,15.385
-2.0665200003662942,15.385
-2.0629200003654926,15.399
-2.061480000366741,15.386
-2.0604000003748393,15.377
-2.053320000357841,15.388
-2.0452800003592966,15.381
-2.0419200003592533,15.378
-2.0334000003583395,15.381
-2.0013600003625793,15.401
-1.9972800003554863,15.38
-1.9970400003526816,15.379
-1.99704000034893,15.382
-1.9951200003704894,15.385
-1.984440000369231,15.384
-1.9840800003681789,15.387
-1.9803600003481545,15.374
-1.9786800003525666,15.382
-1.9777200003568662,15.378
-1.975440000365266,15.381
-1.9737600003676317,15.383
-1.9725600003675918,15.388
-1.9656000003585614,15.382
-1.9598400003526404,15.378
-1.9593600003649367,15.383
-1.9580400003664788,15.388
-1.956720000350968,15.388
-1.9528800003623683,15.381
-1.9450800003596367,15.381
-1.945080000355544,15.384
-1.9357200003604174,15.383
-1.9347600003604537,15.384
-1.9323600003685595,15.376
-1.9260000003659439,15.38
-1.9228800003652946,15.38
-1.9156800003515837,15.383
-1.9116000003600089,15.391
-1.9029600003645992,15.384
-1.8960000003473834,15.381
-1.895880000363972,15.375
-1.893720000366697,15.382
-1.8915600003598723,15.383
-1.8864000003474057,15.385
-1.880640000366041,15.381
-1.8804000003657944,15.386
-1.8753600003641946,15.384
-1.8744000003557044,15.378
-1.874400000352976,15.383
-1.8691200003535169,15.385
-1.8636000003608029,15.383
-1.859280000370175,15.385
-1.855440000350539,15.384
-1.8542400003564676,15.385
