Degree,Log(Probability)
2,-1.7619065060783738
3,-1.5446626768913525
4,-2.0693912058263346
5,-2.2086532731598423
6,-2.455053686638319
7,-2.890371757896165
8,-2.9368917735310576
9,-3.2088254890146994
10,-3.4965075614664802
11,-3.966511190712216
12,-4.882801922586371
13,-4.189654742026425
14,-4.276666119016055
15,-4.477336814478207
16,-5.0651234793803255
17,-5.0651234793803255
18,-5.575949103146316
19,-5.288267030694535
20,-6.674561391814426
21,-5.575949103146316
22,-6.674561391814426
23,-5.981414211254481
24,-6.674561391814426
25,-5.981414211254481
26,-5.981414211254481
27,-6.674561391814426
28,-6.674561391814426
30,-6.674561391814426
33,-6.674561391814426
34,-6.674561391814426
35,-5.981414211254481
52,-6.674561391814426
