ID,ID_OGLE_IV,RA,DEC,RAdeg,DECdeg,Imag,Imag_err,Vmag,Vmag_err,SNR,pr_pl,mstar_0,E_mstar_0,e_mstar_0,rstar_0,E_rstar_0,e_rstar_0,rstarsed_0,E_rstarsed_0,e_rstarsed_0,lstar_0,E_lstar_0,e_lstar_0,fbol_0,E_fbol_0,e_fbol_0,rhostar_0,E_rhostar_0,e_rhostar_0,logg_0,E_logg_0,e_logg_0,teff_0,E_teff_0,e_teff_0,teffsed_0,E_teffsed_0,e_teffsed_0,feh_0,E_feh_0,e_feh_0,age_0,E_age_0,e_age_0,eep_0,E_eep_0,e_eep_0,logmstar_0,E_logmstar_0,e_logmstar_0,Av_0,E_Av_0,e_Av_0,errscale_0,E_errscale_0,e_errscale_0,parallax_0,E_parallax_0,e_parallax_0,distance_0,E_distance_0,e_distance_0,Period_0,E_Period_0,e_Period_0,rp_0,E_rp_0,e_rp_0,mp_0,E_mp_0,e_mp_0,mpsun_0,E_mpsun_0,e_mpsun_0,tc_0,E_tc_0,e_tc_0,t0_0,E_t0_0,e_t0_0,a_0,E_a_0,e_a_0,ideg_0,E_ideg_0,e_ideg_0,teq_0,E_teq_0,e_teq_0,tcirc_0,E_tcirc_0,e_tcirc_0,k_0,E_k_0,e_k_0,p_0,E_p_0,e_p_0,ar_0,E_ar_0,e_ar_0,delta_0,E_delta_0,e_delta_0,depth_I_0,E_depth_I_0,e_depth_I_0,depth_V_0,E_depth_V_0,e_depth_V_0,tau_0,E_tau_0,e_tau_0,t14_0,E_t14_0,e_t14_0,tfwhm_0,E_tfwhm_0,e_tfwhm_0,b_0,E_b_0,e_b_0,cosi_0,E_cosi_0,e_cosi_0,eclipsedepth25_0,E_eclipsedepth25_0,e_eclipsedepth25_0,eclipsedepth50_0,E_eclipsedepth50_0,e_eclipsedepth50_0,eclipsedepth75_0,E_eclipsedepth75_0,e_eclipsedepth75_0,rhop_0,E_rhop_0,e_rhop_0,logp_0,E_logp_0,e_logp_0,loggp_0,E_loggp_0,e_loggp_0,safronov_0,E_safronov_0,e_safronov_0,fave_0,E_fave_0,e_fave_0,ts_0,E_ts_0,e_ts_0,ta_0,E_ta_0,e_ta_0,td_0,E_td_0,e_td_0,vcve_0,E_vcve_0,e_vcve_0,q_0,E_q_0,e_q_0,pt_0,E_pt_0,e_pt_0,ptg_0,E_ptg_0,e_ptg_0,u1_0,E_u1_0,e_u1_0,u2_0,E_u2_0,e_u2_0,u1_1,E_u1_1,e_u1_1,u2_1,E_u2_1,e_u2_1,variance_0,E_variance_0,e_variance_0,f0_0,E_f0_0,e_f0_0,variance_1,E_variance_1,e_variance_1,f0_1,E_f0_1,e_f0_1
OGLE-TR-1001,BLG501.32.33777,17:49:43.17,-29:23:41.9,267.429875,-29.394972222222226,13.923,0.004,14.815,0.005,58.05142847870602,1.0,2.44,0.42,0.36,1.57,0.23,0.14,1.62,0.27,0.15,96.0,65.0,57.0,9.4e-10,5.8e-10,5.5e-10,0.86,0.4,0.31,4.42,0.13,0.15,14400.0,2500.0,3800.0,14300.0,2500.0,3700.0,-1.5,1.5,1.6,0.21,0.2,0.14,346.0,58.0,44.0,0.388,0.069,0.07,2.57,0.12,0.22,15.0,2.3,2.0,0.552,0.025,0.026,1810.0,91.0,79.0,2.1093174,1e-06,1e-06,1.39,0.22,0.14,10.0,130.0,10.0,0.0103,0.12,0.0098,2455378.18379,0.00081,0.00084,2456782.9892,0.00044,0.00046,0.0437,0.0023,0.0024,84.2,2.1,2.3,4190.0,480.0,860.0,0.52,2.5,0.5,910.0,11000.0,870.0,0.0907,0.0014,0.0013,5.92,0.78,0.81,0.00823,0.00025,0.00023,0.00848,0.0002,0.0002,0.00857,0.00022,0.00021,0.0131,0.0048,0.003,0.1043,0.0052,0.0034,0.0912,0.0012,0.0011,0.6,0.12,0.17,0.101,0.039,0.037,1330.0,90.0,100.0,1819.0,96.0,110.0,2000.0,130.0,140.0,6.9,43.0,6.6,0.32414194,2.2e-07,2.1e-07,4.23,0.93,1.4,0.3,2.9,0.29,69.0,38.0,42.0,2455379.23845,0.00081,0.00084,2455379.76578,0.00081,0.00083,2455378.71112,0.00081,0.00084,1.0,0.0,0.0,0.0041,0.05,0.0039,0.154,0.024,0.018,0.184,0.029,0.022,0.118,0.051,0.048,0.202,0.051,0.055,0.164,0.07,0.059,0.297,0.052,0.053,3.97e-06,1.4e-07,1.3e-07,0.999967,3.2e-05,2.9e-05,1.27e-05,2.1e-06,1.9e-06,0.99944,0.00032,0.00032
OGLE-TR-1002,BLG501.32.25056,17:49:51.28,-29:18:01.1,267.4636666666666,-29.30030555555556,15.419,0.006,17.021,0.01,32.862047214498645,0.932,1.27,0.12,0.14,1.429,0.086,0.099,1.52,0.11,0.11,2.39,0.68,0.5,2.79e-11,4.7e-12,3.7e-12,0.61,0.14,0.1,4.232,0.062,0.059,6030.0,310.0,280.0,5840.0,310.0,280.0,0.38,0.11,0.18,3.0,3.3,2.2,367.0,57.0,46.0,0.103,0.04,0.049,2.12,0.2,0.2,11.6,1.8,1.5,0.604,0.047,0.043,1660.0,130.0,120.0,13.197893,4e-05,4e-05,1.66,0.12,0.15,0.401,0.013,0.026,0.000382,1.3e-05,2.5e-05,2455379.7864,0.0035,0.0036,2456264.0452,0.0023,0.0023,0.1184,0.0036,0.0044,87.28,0.26,0.22,1007.0,51.0,46.0,7.8,6.2,2.3,29.2,4.8,2.5,0.119,0.0046,0.0046,17.8,1.3,1.0,0.0142,0.0011,0.0011,0.01323,0.00078,0.00077,0.01236,0.00076,0.00078,0.057,0.013,0.011,0.174,0.0073,0.0071,0.1168,0.0094,0.012,0.844,0.021,0.031,0.0475,0.0039,0.0046,76.0,19.0,17.0,536.0,71.0,76.0,940.0,100.0,110.0,0.105,0.048,0.02,1.1205046,1.3e-06,1.3e-06,2.544,0.11,0.062,0.0442,0.0099,0.0049,0.234,0.051,0.04,2455386.3854,0.0035,0.0036,2455389.6848,0.0035,0.0035,2455383.0859,0.0035,0.0036,1.0,0.0,0.0,0.0003,7e-05,3.3e-05,0.0495,0.003,0.0032,0.0629,0.0039,0.0043,0.258,0.064,0.064,0.296,0.054,0.054,0.444,0.075,0.073,0.272,0.06,0.062,2.771e-05,4.5e-07,4.4e-07,1.000336,5.2e-05,5.2e-05,4.37e-05,7.2e-06,6.3e-06,1.00022,0.00058,0.00059
OGLE-TR-1003,BLG501.31.56128,17:50:22.77,-29:23:19.4,267.59487499999994,-29.38872222222222,15.382,0.005,16.872,0.008,12.597542285964666,1.0,0.95,0.14,0.085,1.08,0.51,0.11,1.08,0.48,0.11,1.22,0.99,0.36,2.78e-11,4.2e-12,3.4e-12,1.1,0.32,0.75,4.36,0.073,0.32,5720.0,290.0,280.0,5750.0,340.0,320.0,-0.09,0.24,0.24,8.5,3.9,5.4,402.0,50.0,55.0,-0.022,0.061,0.041,1.86,0.2,0.22,7.07,1.2,0.88,0.86,0.12,0.25,1160.0,470.0,140.0,2.776225,5.8e-06,5.6e-06,0.565,0.35,0.064,0.129,53.0,0.042,0.000123,0.05,4.1e-05,2455379.3408,0.0041,0.0043,2457033.9707,0.0026,0.0023,0.0383,0.0018,0.0013,87.2,1.9,5.5,1490.0,220.0,110.0,0.73,20.0,0.3,19.2,7100.0,6.3,0.0546,0.0042,0.0029,7.66,0.68,2.3,0.00298,0.00047,0.00031,0.00332,0.00028,0.00028,0.00355,0.00035,0.00033,0.0067,0.0091,0.00094,0.1143,0.0084,0.006,0.1055,0.0055,0.0048,0.38,0.39,0.25,0.049,0.096,0.033,103.0,120.0,24.0,313.0,220.0,48.0,432.0,250.0,58.0,1.01,80.0,0.33,0.44345466,9e-07,8.8e-07,3.03,2.2,0.15,0.0189,4.4,0.0058,1.13,0.83,0.29,2455377.9527,0.0041,0.0043,2455381.4229,0.0041,0.0043,2455380.0348,0.0041,0.0043,1.0,0.0,0.0,0.00013,0.048,4.3e-05,0.124,0.052,0.01,0.138,0.061,0.011,0.285,0.065,0.066,0.272,0.055,0.055,0.467,0.078,0.08,0.256,0.059,0.064,2.012e-05,3.2e-07,3.3e-07,1.000116,4.6e-05,4.6e-05,2.22e-05,4.3e-06,3.6e-06,0.99999,0.00046,0.00043
OGLE-TR-1004,BLG501.06.104268,17:50:23.35,-30:15:01.4,267.59729166666665,-30.25038888888889,14.168,0.003,15.348,0.004,29.93318061015468,1.0,1.93,0.14,0.14,1.96,0.19,0.18,2.08,0.18,0.16,12.6,3.3,2.7,1.4e-10,2.5e-11,2.2e-11,0.363,0.11,0.085,4.142,0.077,0.079,7780.0,400.0,400.0,7560.0,340.0,360.0,0.31,0.12,0.19,0.43,0.31,0.27,329.0,15.0,33.0,0.286,0.03,0.032,2.27,0.16,0.18,9.0,1.6,1.2,0.591,0.049,0.046,1690.0,140.0,130.0,10.186892,2e-05,2e-05,1.52,0.16,0.16,134.0,17.0,130.0,0.128,0.016,0.13,2455379.842,0.0032,0.0033,2456826.3807,0.0017,0.0017,0.1166,0.0029,0.0033,86.64,0.46,0.51,1536.0,76.0,73.0,1670.0,750.0,1600.0,7730.0,950.0,7500.0,0.0797,0.0019,0.0019,12.8,1.1,1.0,0.00635,0.00031,0.0003,0.00639,0.00028,0.00027,0.00642,0.00027,0.00027,0.031,0.0063,0.005,0.1964,0.0065,0.0055,0.1652,0.0038,0.0039,0.752,0.043,0.051,0.0586,0.0088,0.0081,167.0,31.0,26.0,515.0,59.0,53.0,713.0,70.0,64.0,42.2,8.8,40.0,1.00804172,8.5e-07,8.4e-07,5.135,0.038,1.5,10.52,0.63,10.0,1.26,0.27,0.22,2455374.7485,0.0032,0.0033,2455387.4821,0.0032,0.0033,2455382.3887,0.0032,0.0033,1.0,0.0,0.0,0.0657,0.0094,0.064,0.0717,0.0063,0.0054,0.0841,0.0075,0.0065,0.135,0.051,0.051,0.302,0.055,0.056,0.292,0.052,0.051,0.344,0.051,0.051,5.65e-06,1.6e-07,1.5e-07,0.999877,3e-05,3e-05,2.36e-05,3.3e-06,2.9e-06,0.99997,0.00039,0.00039
OGLE-TR-1005,BLG501.14.93219,17:50:28.70,-29:54:23.9,267.61958333333325,-29.90663888888889,14.824,0.005,15.931,0.006,35.433684610060595,1.0,0.965,0.33,0.075,1.763,0.21,0.09,1.93,0.17,0.12,10.3,6.8,2.5,6.8e-11,3.1e-11,1.4e-11,0.264,0.029,0.049,3.949,0.052,0.062,7800.0,830.0,470.0,7490.0,730.0,430.0,-3.99,1.2,0.31,6.0,1.9,3.6,449.3,9.5,5.9,-0.015,0.13,0.035,2.42,0.64,0.48,8.9,1.7,1.2,0.452,0.028,0.047,2210.0,260.0,130.0,4.5659828,8.2e-06,7.6e-06,1.389,0.18,0.078,0.83,3.0,0.44,0.00079,0.0029,0.00042,2455380.5474,0.0028,0.0027,2456773.1723,0.0014,0.0014,0.0533,0.0055,0.0014,87.9,1.5,1.8,2160.0,230.0,120.0,0.36,1.6,0.25,103.0,390.0,62.0,0.081,0.0014,0.0013,6.64,0.23,0.44,0.00655,0.00022,0.00021,0.00715,0.00028,0.00026,0.0077,0.00039,0.00037,0.0184,0.003,0.0011,0.2317,0.0043,0.004,0.2125,0.0032,0.0031,0.24,0.18,0.17,0.037,0.032,0.025,533.0,120.0,52.0,1045.0,130.0,64.0,1274.0,120.0,67.0,0.39,1.6,0.27,0.65953427,7.8e-07,7.3e-07,3.03,0.7,0.45,0.066,0.26,0.042,4.9,2.4,0.99,2455378.2644,0.0028,0.0027,2455383.9719,0.0028,0.0027,2455381.6889,0.0028,0.0027,1.0,0.0,0.0,0.00081,0.0031,0.00051,0.1385,0.0098,0.0047,0.1628,0.012,0.0054,0.184,0.066,0.064,0.23,0.065,0.06,0.333,0.07,0.089,0.288,0.056,0.059,1.535e-05,2.6e-07,2.6e-07,1.000029,4.1e-05,4e-05,2.54e-05,3.5e-06,3.1e-06,0.99972,0.00041,0.0004
OGLE-TR-1006,BLG501.31.30472,17:50:38.40,-29:22:06.8,267.6599999999999,-29.36855555555556,14.902,0.005,16.64,0.007,16.334261756503416,0.991,1.74,0.14,0.17,2.19,0.2,0.15,2.25,0.2,0.16,3.47,0.78,0.65,4.76e-11,6.2e-12,5.8e-12,0.235,0.044,0.058,4.003,0.044,0.086,5310.0,300.0,310.0,5250.0,280.0,300.0,0.3,0.21,0.26,0.0047,0.0038,0.0025,171.0,14.0,16.0,0.241,0.033,0.045,2.18,0.21,0.25,6.38,1.0,0.79,0.658,0.045,0.048,1520.0,120.0,97.0,1.8082001,5.5e-06,5.3e-06,1.131,0.15,0.088,35.0,47.0,29.0,0.034,0.045,0.027,2455377.0093,0.0053,0.0052,2456854.3089,0.0029,0.0028,0.03521,0.0009,0.0011,75.1,1.1,2.0,2022.0,100.0,84.0,0.99,1.7,0.81,3900.0,5300.0,3200.0,0.0536,0.0044,0.0032,3.46,0.21,0.3,0.00287,0.00049,0.00034,0.00238,0.00027,0.00026,0.00193,0.00032,0.00043,0.0214,0.0091,0.0036,0.097,0.0069,0.0062,0.0742,0.0084,0.011,0.895,0.03,0.026,0.258,0.033,0.019,344.0,77.0,46.0,651.0,130.0,77.0,784.0,150.0,91.0,30.0,33.0,25.0,0.2572465,1.3e-06,1.3e-06,4.86,0.31,0.77,1.3,1.9,1.1,3.79,0.83,0.59,2455376.1052,0.0053,0.0052,2455378.3654,0.0053,0.0052,2455377.4613,0.0053,0.0052,1.0,0.0,0.0,0.02,0.028,0.016,0.274,0.025,0.016,0.304,0.03,0.017,0.368,0.065,0.066,0.238,0.059,0.059,0.598,0.084,0.08,0.169,0.069,0.071,1.767e-05,3e-07,2.9e-07,1.000084,4.3e-05,4.3e-05,2.58e-05,4.1e-06,3.5e-06,1.00009,0.00044,0.00043
OGLE-TR-1007,BLG501.06.29427,17:50:47.56,-30:11:59.7,267.6981666666666,-30.199916666666667,12.855,0.006,13.626,0.006,56.25171086065279,1.0,1.65,0.21,0.12,2.95,0.24,0.23,2.98,0.29,0.27,16.4,8.2,4.9,1.88e-10,6.2e-11,4.5e-11,0.093,0.019,0.016,3.726,0.053,0.053,6800.0,580.0,520.0,6790.0,540.0,520.0,-3.32,1.5,0.49,0.00142,0.00045,0.00032,167.8,4.3,6.2,0.217,0.052,0.032,0.84,0.3,0.31,6.64,1.2,0.92,0.591,0.063,0.054,1690.0,170.0,160.0,3.5659243,4.8e-06,4.9e-06,2.98,0.29,0.27,288.0,32.0,29.0,0.276,0.031,0.028,2455379.2049,0.0021,0.0021,2456566.6577,0.0013,0.0014,0.0569,0.002,0.0015,78.22,0.96,1.0,2350.0,210.0,180.0,1.81,0.65,0.47,24000.0,1900.0,1700.0,0.104,0.0025,0.0023,4.17,0.26,0.24,0.01082,0.00052,0.00047,0.01029,0.00036,0.00033,0.00979,0.00036,0.00037,0.0595,0.012,0.0089,0.196,0.0072,0.0066,0.1363,0.0057,0.0078,0.852,0.02,0.022,0.204,0.017,0.017,1370.0,200.0,180.0,2370.0,220.0,200.0,2790.0,230.0,210.0,13.5,2.6,2.2,0.55217212,5.8e-07,5.9e-07,4.906,0.035,0.035,6.7,0.25,0.53,6.9,2.8,1.9,2455380.9879,0.0021,0.0021,2455381.8793,0.0021,0.0021,2455380.0964,0.0021,0.0021,1.0,0.0,0.0,0.165,0.015,0.015,0.215,0.013,0.012,0.264,0.017,0.016,0.192,0.054,0.054,0.294,0.053,0.054,0.337,0.051,0.052,0.3,0.051,0.05,1.836e-05,3.2e-07,3e-07,1.000201,4.4e-05,4.3e-05,3.2e-05,4.2e-06,3.7e-06,0.99918,0.00042,0.00042
OGLE-TR-1008,BLG501.23.14645,17:50:48.36,-29:40:49.1,267.70149999999995,-29.68030555555556,15.056,0.005,16.583,0.008,6.387655534052632,0.998,0.98,0.29,0.35,2.1,0.19,0.16,2.23,0.2,0.17,2.82,0.83,0.75,2.9e-11,6.2e-12,6.3e-12,0.146,0.069,0.057,3.78,0.15,0.2,5130.0,430.0,390.0,4980.0,440.0,390.0,-2.3,2.0,1.4,0.00077,0.00066,0.00039,134.0,18.0,26.0,-0.01,0.11,0.19,1.48,0.36,0.42,8.7,1.3,1.1,0.566,0.043,0.039,1770.0,130.0,120.0,63.2215,0.0029,0.0028,1.17,0.11,0.087,21.0,46.0,18.0,0.021,0.044,0.018,2455416.535,0.079,0.062,2456744.191,0.033,0.031,0.312,0.028,0.041,88.87,0.49,0.44,652.0,51.0,56.0,2200000.0,5100000.0,2000000.0,1110.0,2400.0,940.0,0.0575,0.005,0.0051,31.6,4.3,4.7,0.00331,0.0006,0.00056,0.00358,0.00061,0.0006,0.00376,0.00073,0.00069,0.047,0.021,0.011,0.552,0.067,0.074,0.501,0.072,0.079,0.63,0.14,0.25,0.0196,0.0077,0.0086,1.01,0.8,0.56,30.1,12.0,9.8,81.0,25.0,19.0,17.0,38.0,16.0,1.800865,2e-05,1.9e-05,4.61,0.52,0.92,11.0,30.0,10.0,0.041,0.014,0.012,2455448.146,0.079,0.062,2455463.952,0.077,0.06,2455432.341,0.078,0.062,1.0,0.0,0.0,0.021,0.054,0.017,0.0298,0.0053,0.0035,0.0334,0.0058,0.0039,0.265,0.17,0.089,0.278,0.073,0.083,0.408,0.27,0.096,0.275,0.087,0.17,1.829e-05,3.1e-07,3.2e-07,1.000163,4.3e-05,4.1e-05,6.16e-05,7.7e-06,6.8e-06,1.00052,0.00057,0.00056
OGLE-TR-1009,BLG501.22.131144,17:50:56.70,-29:40:49.1,267.73625,-29.68030555555556,14.155,0.004,15.146,0.004,36.9926057797184,0.996,4.19,0.56,0.52,2.185,0.098,0.094,2.29,0.14,0.13,940.0,440.0,350.0,2.99e-09,8.1e-10,7.7e-10,0.568,0.033,0.035,4.382,0.027,0.03,21600.0,1800.0,2100.0,21200.0,1900.0,2200.0,-3.13,1.0,0.57,0.094,0.033,0.026,388.0,16.0,30.0,0.622,0.055,0.057,3.183,0.067,0.075,9.4,1.4,1.1,0.316,0.031,0.027,3160.0,300.0,280.0,29.549047,6.8e-05,6.6e-05,2.218,0.099,0.096,0.4068,0.0054,0.011,0.0003883,5.2e-06,1.1e-05,2455398.1766,0.0035,0.0035,2456609.6876,0.0022,0.0022,0.302,0.013,0.013,89.8,0.14,0.21,2800.0,230.0,260.0,140.0,23.0,20.0,10.21,0.95,0.83,0.1043,0.0015,0.0016,29.71,0.56,0.63,0.01088,0.00032,0.00032,0.01141,0.00037,0.00036,0.01151,0.00045,0.00044,0.03325,0.0012,0.00076,0.3472,0.0056,0.0056,0.3137,0.0052,0.0052,0.102,0.11,0.071,0.0034,0.0037,0.0024,488.0,49.0,56.0,863.0,43.0,48.0,1025.0,40.0,42.0,0.0459,0.0065,0.0056,1.47054347,1e-06,9.7e-07,2.309,0.039,0.038,0.0262,0.0036,0.003,14.0,5.3,4.5,2455383.4021,0.0035,0.0035,2455420.3384,0.0034,0.0035,2455405.5639,0.0034,0.0035,1.0,0.0,0.0,9.2e-05,1.3e-05,1.1e-05,0.03015,0.00067,0.00058,0.03717,0.00079,0.00067,0.093,0.048,0.046,0.204,0.05,0.05,0.113,0.05,0.049,0.27,0.05,0.05,6.34e-06,1.6e-07,1.6e-07,1.000199,3.1e-05,3.1e-05,3.9e-06,1.2e-06,1.1e-06,0.99977,0.00023,0.00023
OGLE-TR-1010,BLG501.13.26254,17:51:30.88,-29:55:45.2,267.8786666666667,-29.929222222222226,14.519,0.005,15.718,0.006,51.7632527238742,1.0,0.826,0.039,0.039,1.711,0.14,0.095,1.851,0.13,0.097,6.03,0.99,0.82,6.7e-11,8.1e-12,7.4e-12,0.232,0.047,0.05,3.888,0.056,0.072,6900.0,260.0,270.0,6670.0,230.0,260.0,-4.437,0.13,0.076,10.2,1.8,1.5,444.8,5.5,4.5,-0.083,0.02,0.021,3.33,0.46,0.74,9.6,1.4,1.1,0.59,0.029,0.031,1695.0,96.0,80.0,2.2063895,2.3e-06,2.2e-06,1.39,0.14,0.092,0.87,3.4,0.48,0.00083,0.0032,0.00045,2455377.4247,0.0015,0.0015,2456626.24117,0.00085,0.00084,0.03116,0.00048,0.0005,83.9,3.0,2.8,2470.0,88.0,81.0,0.014,0.074,0.01,152.0,590.0,84.0,0.0836,0.0016,0.0013,3.91,0.25,0.31,0.00699,0.00026,0.00022,0.00766,0.00021,0.0002,0.00805,0.00027,0.00026,0.0171,0.0037,0.0024,0.1826,0.0035,0.003,0.1651,0.0022,0.0022,0.42,0.14,0.19,0.107,0.048,0.052,977.0,120.0,83.0,1630.0,160.0,110.0,1900.0,170.0,120.0,0.41,1.9,0.27,0.34368217,4.4e-07,4.3e-07,3.05,0.73,0.44,0.047,0.19,0.028,8.5,1.3,1.1,2455378.5279,0.0015,0.0015,2455379.0795,0.0015,0.0015,2455377.9763,0.0015,0.0015,1.0,0.0,0.0,0.001,0.0039,0.00055,0.234,0.02,0.014,0.277,0.024,0.017,0.218,0.048,0.048,0.312,0.049,0.049,0.329,0.052,0.051,0.306,0.05,0.05,1.213e-05,2.4e-07,2.3e-07,1.000355,3.8e-05,3.9e-05,1.89e-05,2.8e-06,2.5e-06,0.99975,0.00036,0.00036
