ID,ID_OGLE_IV,RA,DEC,RAdeg,DECdeg,Imag,Imag_err,Vmag,Vmag_err,SNR,pr_pl,mstar_0,E_mstar_0,e_mstar_0,rstar_0,E_rstar_0,e_rstar_0,rstarsed_0,E_rstarsed_0,e_rstarsed_0,lstar_0,E_lstar_0,e_lstar_0,fbol_0,E_fbol_0,e_fbol_0,rhostar_0,E_rhostar_0,e_rhostar_0,logg_0,E_logg_0,e_logg_0,teff_0,E_teff_0,e_teff_0,teffsed_0,E_teffsed_0,e_teffsed_0,feh_0,E_feh_0,e_feh_0,age_0,E_age_0,e_age_0,eep_0,E_eep_0,e_eep_0,logmstar_0,E_logmstar_0,e_logmstar_0,Av_0,E_Av_0,e_Av_0,errscale_0,E_errscale_0,e_errscale_0,parallax_0,E_parallax_0,e_parallax_0,distance_0,E_distance_0,e_distance_0,Period_0,E_Period_0,e_Period_0,rp_0,E_rp_0,e_rp_0,mp_0,E_mp_0,e_mp_0,mpsun_0,E_mpsun_0,e_mpsun_0,tc_0,E_tc_0,e_tc_0,t0_0,E_t0_0,e_t0_0,a_0,E_a_0,e_a_0,ideg_0,E_ideg_0,e_ideg_0,teq_0,E_teq_0,e_teq_0,tcirc_0,E_tcirc_0,e_tcirc_0,k_0,E_k_0,e_k_0,p_0,E_p_0,e_p_0,ar_0,E_ar_0,e_ar_0,delta_0,E_delta_0,e_delta_0,depth_I_0,E_depth_I_0,e_depth_I_0,depth_V_0,E_depth_V_0,e_depth_V_0,tau_0,E_tau_0,e_tau_0,t14_0,E_t14_0,e_t14_0,tfwhm_0,E_tfwhm_0,e_tfwhm_0,b_0,E_b_0,e_b_0,cosi_0,E_cosi_0,e_cosi_0,eclipsedepth25_0,E_eclipsedepth25_0,e_eclipsedepth25_0,eclipsedepth50_0,E_eclipsedepth50_0,e_eclipsedepth50_0,eclipsedepth75_0,E_eclipsedepth75_0,e_eclipsedepth75_0,rhop_0,E_rhop_0,e_rhop_0,logp_0,E_logp_0,e_logp_0,loggp_0,E_loggp_0,e_loggp_0,safronov_0,E_safronov_0,e_safronov_0,fave_0,E_fave_0,e_fave_0,ts_0,E_ts_0,e_ts_0,ta_0,E_ta_0,e_ta_0,td_0,E_td_0,e_td_0,vcve_0,E_vcve_0,e_vcve_0,q_0,E_q_0,e_q_0,pt_0,E_pt_0,e_pt_0,ptg_0,E_ptg_0,e_ptg_0,u1_0,E_u1_0,e_u1_0,u2_0,E_u2_0,e_u2_0,u1_1,E_u1_1,e_u1_1,u2_1,E_u2_1,e_u2_1,variance_0,E_variance_0,e_variance_0,f0_0,E_f0_0,e_f0_0,variance_1,E_variance_1,e_variance_1,f0_1,E_f0_1,e_f0_1
OGLE-TR-1001,BLG501.32.33777,49:43.2,-29:23:41.9,267.429875,-29.39497222,13.923,0.004,14.815,0.005,58.05142848,1,2.44,0.42,0.36,1.57,0.23,0.14,1.62,0.27,0.15,96,65,57,9.40E-10,5.80E-10,5.50E-10,0.86,0.4,0.31,4.42,0.13,0.15,14400,2500,3800,14300,2500,3700,-1.5,1.5,1.6,0.21,0.2,0.14,346,58,44,0.388,0.069,0.07,2.57,0.12,0.22,15,2.3,2,0.552,0.025,0.026,1810,91,79,2.1093174,1.00E-06,1.00E-06,1.39,0.22,0.14,10,130,10,0.0103,0.12,0.0098,2455378.184,0.00081,0.00084,2456782.989,0.00044,0.00046,0.0437,0.0023,0.0024,84.2,2.1,2.3,4190,480,860,0.52,2.5,0.5,910,11000,870,0.0907,0.0014,0.0013,5.92,0.78,0.81,0.00823,0.00025,0.00023,0.00848,0.0002,0.0002,0.00857,0.00022,0.00021,0.0131,0.0048,0.003,0.1043,0.0052,0.0034,0.0912,0.0012,0.0011,0.6,0.12,0.17,0.101,0.039,0.037,1330,90,100,1819,96,110,2000,130,140,6.9,43,6.6,0.32414194,2.20E-07,2.10E-07,4.23,0.93,1.4,0.3,2.9,0.29,69,38,42,2455379.238,0.00081,0.00084,2455379.766,0.00081,0.00083,2455378.711,0.00081,0.00084,1,0,0,0.0041,0.05,0.0039,0.154,0.024,0.018,0.184,0.029,0.022,0.118,0.051,0.048,0.202,0.051,0.055,0.164,0.07,0.059,0.297,0.052,0.053,3.97E-06,1.40E-07,1.30E-07,0.999967,3.20E-05,2.90E-05,1.27E-05,2.10E-06,1.90E-06,0.99944,0.00032,0.00032
OGLE-TR-1002,BLG501.32.25056,49:51.3,-29:18:01.1,267.4636667,-29.30030556,15.419,0.006,17.021,0.01,32.86204721,0.932,1.27,0.12,0.14,1.429,0.086,0.099,1.52,0.11,0.11,2.39,0.68,0.5,2.79E-11,4.70E-12,3.70E-12,0.61,0.14,0.1,4.232,0.062,0.059,6030,310,280,5840,310,280,0.38,0.11,0.18,3,3.3,2.2,367,57,46,0.103,0.04,0.049,2.12,0.2,0.2,11.6,1.8,1.5,0.604,0.047,0.043,1660,130,120,13.197893,4.00E-05,4.00E-05,1.66,0.12,0.15,0.401,0.013,0.026,0.000382,1.30E-05,2.50E-05,2455379.786,0.0035,0.0036,2456264.045,0.0023,0.0023,0.1184,0.0036,0.0044,87.28,0.26,0.22,1007,51,46,7.8,6.2,2.3,29.2,4.8,2.5,0.119,0.0046,0.0046,17.8,1.3,1,0.0142,0.0011,0.0011,0.01323,0.00078,0.00077,0.01236,0.00076,0.00078,0.057,0.013,0.011,0.174,0.0073,0.0071,0.1168,0.0094,0.012,0.844,0.021,0.031,0.0475,0.0039,0.0046,76,19,17,536,71,76,940,100,110,0.105,0.048,0.02,1.1205046,1.30E-06,1.30E-06,2.544,0.11,0.062,0.0442,0.0099,0.0049,0.234,0.051,0.04,2455386.385,0.0035,0.0036,2455389.685,0.0035,0.0035,2455383.086,0.0035,0.0036,1,0,0,0.0003,7.00E-05,3.30E-05,0.0495,0.003,0.0032,0.0629,0.0039,0.0043,0.258,0.064,0.064,0.296,0.054,0.054,0.444,0.075,0.073,0.272,0.06,0.062,2.77E-05,4.50E-07,4.40E-07,1.000336,5.20E-05,5.20E-05,4.37E-05,7.20E-06,6.30E-06,1.00022,0.00058,0.00059
OGLE-TR-1003,BLG501.31.56128,50:22.8,-29:23:19.4,267.594875,-29.38872222,15.382,0.005,16.872,0.008,12.59754229,1,0.95,0.14,0.085,1.08,0.51,0.11,1.08,0.48,0.11,1.22,0.99,0.36,2.78E-11,4.20E-12,3.40E-12,1.1,0.32,0.75,4.36,0.073,0.32,5720,290,280,5750,340,320,-0.09,0.24,0.24,8.5,3.9,5.4,402,50,55,-0.022,0.061,0.041,1.86,0.2,0.22,7.07,1.2,0.88,0.86,0.12,0.25,1160,470,140,2.776225,5.80E-06,5.60E-06,0.565,0.35,0.064,0.129,53,0.042,0.000123,0.05,4.10E-05,2455379.341,0.0041,0.0043,2457033.971,0.0026,0.0023,0.0383,0.0018,0.0013,87.2,1.9,5.5,1490,220,110,0.73,20,0.3,19.2,7100,6.3,0.0546,0.0042,0.0029,7.66,0.68,2.3,0.00298,0.00047,0.00031,0.00332,0.00028,0.00028,0.00355,0.00035,0.00033,0.0067,0.0091,0.00094,0.1143,0.0084,0.006,0.1055,0.0055,0.0048,0.38,0.39,0.25,0.049,0.096,0.033,103,120,24,313,220,48,432,250,58,1.01,80,0.33,0.44345466,9.00E-07,8.80E-07,3.03,2.2,0.15,0.0189,4.4,0.0058,1.13,0.83,0.29,2455377.953,0.0041,0.0043,2455381.423,0.0041,0.0043,2455380.035,0.0041,0.0043,1,0,0,0.00013,0.048,4.30E-05,0.124,0.052,0.01,0.138,0.061,0.011,0.285,0.065,0.066,0.272,0.055,0.055,0.467,0.078,0.08,0.256,0.059,0.064,2.01E-05,3.20E-07,3.30E-07,1.000116,4.60E-05,4.60E-05,2.22E-05,4.30E-06,3.60E-06,0.99999,0.00046,0.00043
OGLE-TR-1004,BLG501.06.104268,50:23.4,-30:15:01.4,267.5972917,-30.25038889,14.168,0.003,15.348,0.004,29.93318061,1,1.93,0.14,0.14,1.96,0.19,0.18,2.08,0.18,0.16,12.6,3.3,2.7,1.40E-10,2.50E-11,2.20E-11,0.363,0.11,0.085,4.142,0.077,0.079,7780,400,400,7560,340,360,0.31,0.12,0.19,0.43,0.31,0.27,329,15,33,0.286,0.03,0.032,2.27,0.16,0.18,9,1.6,1.2,0.591,0.049,0.046,1690,140,130,10.186892,2.00E-05,2.00E-05,1.52,0.16,0.16,134,17,130,0.128,0.016,0.13,2455379.842,0.0032,0.0033,2456826.381,0.0017,0.0017,0.1166,0.0029,0.0033,86.64,0.46,0.51,1536,76,73,1670,750,1600,7730,950,7500,0.0797,0.0019,0.0019,12.8,1.1,1,0.00635,0.00031,0.0003,0.00639,0.00028,0.00027,0.00642,0.00027,0.00027,0.031,0.0063,0.005,0.1964,0.0065,0.0055,0.1652,0.0038,0.0039,0.752,0.043,0.051,0.0586,0.0088,0.0081,167,31,26,515,59,53,713,70,64,42.2,8.8,40,1.00804172,8.50E-07,8.40E-07,5.135,0.038,1.5,10.52,0.63,10,1.26,0.27,0.22,2455374.749,0.0032,0.0033,2455387.482,0.0032,0.0033,2455382.389,0.0032,0.0033,1,0,0,0.0657,0.0094,0.064,0.0717,0.0063,0.0054,0.0841,0.0075,0.0065,0.135,0.051,0.051,0.302,0.055,0.056,0.292,0.052,0.051,0.344,0.051,0.051,5.65E-06,1.60E-07,1.50E-07,0.999877,3.00E-05,3.00E-05,2.36E-05,3.30E-06,2.90E-06,0.99997,0.00039,0.00039
OGLE-TR-1005,BLG501.14.93219,50:28.7,-29:54:23.9,267.6195833,-29.90663889,14.824,0.005,15.931,0.006,35.43368461,1,0.965,0.33,0.075,1.763,0.21,0.09,1.93,0.17,0.12,10.3,6.8,2.5,6.80E-11,3.10E-11,1.40E-11,0.264,0.029,0.049,3.949,0.052,0.062,7800,830,470,7490,730,430,-3.99,1.2,0.31,6,1.9,3.6,449.3,9.5,5.9,-0.015,0.13,0.035,2.42,0.64,0.48,8.9,1.7,1.2,0.452,0.028,0.047,2210,260,130,4.5659828,8.20E-06,7.60E-06,1.389,0.18,0.078,0.83,3,0.44,0.00079,0.0029,0.00042,2455380.547,0.0028,0.0027,2456773.172,0.0014,0.0014,0.0533,0.0055,0.0014,87.9,1.5,1.8,2160,230,120,0.36,1.6,0.25,103,390,62,0.081,0.0014,0.0013,6.64,0.23,0.44,0.00655,0.00022,0.00021,0.00715,0.00028,0.00026,0.0077,0.00039,0.00037,0.0184,0.003,0.0011,0.2317,0.0043,0.004,0.2125,0.0032,0.0031,0.24,0.18,0.17,0.037,0.032,0.025,533,120,52,1045,130,64,1274,120,67,0.39,1.6,0.27,0.65953427,7.80E-07,7.30E-07,3.03,0.7,0.45,0.066,0.26,0.042,4.9,2.4,0.99,2455378.264,0.0028,0.0027,2455383.972,0.0028,0.0027,2455381.689,0.0028,0.0027,1,0,0,0.00081,0.0031,0.00051,0.1385,0.0098,0.0047,0.1628,0.012,0.0054,0.184,0.066,0.064,0.23,0.065,0.06,0.333,0.07,0.089,0.288,0.056,0.059,1.54E-05,2.60E-07,2.60E-07,1.000029,4.10E-05,4.00E-05,2.54E-05,3.50E-06,3.10E-06,0.99972,0.00041,0.0004
OGLE-TR-1006,BLG501.31.30472,50:38.4,-29:22:06.8,267.66,-29.36855556,14.902,0.005,16.64,0.007,16.33426176,0.991,1.74,0.14,0.17,2.19,0.2,0.15,2.25,0.2,0.16,3.47,0.78,0.65,4.76E-11,6.20E-12,5.80E-12,0.235,0.044,0.058,4.003,0.044,0.086,5310,300,310,5250,280,300,0.3,0.21,0.26,0.0047,0.0038,0.0025,171,14,16,0.241,0.033,0.045,2.18,0.21,0.25,6.38,1,0.79,0.658,0.045,0.048,1520,120,97,1.8082001,5.50E-06,5.30E-06,1.131,0.15,0.088,35,47,29,0.034,0.045,0.027,2455377.009,0.0053,0.0052,2456854.309,0.0029,0.0028,0.03521,0.0009,0.0011,75.1,1.1,2,2022,100,84,0.99,1.7,0.81,3900,5300,3200,0.0536,0.0044,0.0032,3.46,0.21,0.3,0.00287,0.00049,0.00034,0.00238,0.00027,0.00026,0.00193,0.00032,0.00043,0.0214,0.0091,0.0036,0.097,0.0069,0.0062,0.0742,0.0084,0.011,0.895,0.03,0.026,0.258,0.033,0.019,344,77,46,651,130,77,784,150,91,30,33,25,0.2572465,1.30E-06,1.30E-06,4.86,0.31,0.77,1.3,1.9,1.1,3.79,0.83,0.59,2455376.105,0.0053,0.0052,2455378.365,0.0053,0.0052,2455377.461,0.0053,0.0052,1,0,0,0.02,0.028,0.016,0.274,0.025,0.016,0.304,0.03,0.017,0.368,0.065,0.066,0.238,0.059,0.059,0.598,0.084,0.08,0.169,0.069,0.071,1.77E-05,3.00E-07,2.90E-07,1.000084,4.30E-05,4.30E-05,2.58E-05,4.10E-06,3.50E-06,1.00009,0.00044,0.00043
OGLE-TR-1007,BLG501.06.29427,50:47.6,-30:11:59.7,267.6981667,-30.19991667,12.855,0.006,13.626,0.006,56.25171086,1,1.65,0.21,0.12,2.95,0.24,0.23,2.98,0.29,0.27,16.4,8.2,4.9,1.88E-10,6.20E-11,4.50E-11,0.093,0.019,0.016,3.726,0.053,0.053,6800,580,520,6790,540,520,-3.32,1.5,0.49,0.00142,0.00045,0.00032,167.8,4.3,6.2,0.217,0.052,0.032,0.84,0.3,0.31,6.64,1.2,0.92,0.591,0.063,0.054,1690,170,160,3.5659243,4.80E-06,4.90E-06,2.98,0.29,0.27,288,32,29,0.276,0.031,0.028,2455379.205,0.0021,0.0021,2456566.658,0.0013,0.0014,0.0569,0.002,0.0015,78.22,0.96,1,2350,210,180,1.81,0.65,0.47,24000,1900,1700,0.104,0.0025,0.0023,4.17,0.26,0.24,0.01082,0.00052,0.00047,0.01029,0.00036,0.00033,0.00979,0.00036,0.00037,0.0595,0.012,0.0089,0.196,0.0072,0.0066,0.1363,0.0057,0.0078,0.852,0.02,0.022,0.204,0.017,0.017,1370,200,180,2370,220,200,2790,230,210,13.5,2.6,2.2,0.55217212,5.80E-07,5.90E-07,4.906,0.035,0.035,6.7,0.25,0.53,6.9,2.8,1.9,2455380.988,0.0021,0.0021,2455381.879,0.0021,0.0021,2455380.096,0.0021,0.0021,1,0,0,0.165,0.015,0.015,0.215,0.013,0.012,0.264,0.017,0.016,0.192,0.054,0.054,0.294,0.053,0.054,0.337,0.051,0.052,0.3,0.051,0.05,1.84E-05,3.20E-07,3.00E-07,1.000201,4.40E-05,4.30E-05,3.20E-05,4.20E-06,3.70E-06,0.99918,0.00042,0.00042
OGLE-TR-1008,BLG501.23.14645,50:48.4,-29:40:49.1,267.7015,-29.68030556,15.056,0.005,16.583,0.008,6.387655534,0.998,0.98,0.29,0.35,2.1,0.19,0.16,2.23,0.2,0.17,2.82,0.83,0.75,2.90E-11,6.20E-12,6.30E-12,0.146,0.069,0.057,3.78,0.15,0.2,5130,430,390,4980,440,390,-2.3,2,1.4,0.00077,0.00066,0.00039,134,18,26,-0.01,0.11,0.19,1.48,0.36,0.42,8.7,1.3,1.1,0.566,0.043,0.039,1770,130,120,63.2215,0.0029,0.0028,1.17,0.11,0.087,21,46,18,0.021,0.044,0.018,2455416.535,0.079,0.062,2456744.191,0.033,0.031,0.312,0.028,0.041,88.87,0.49,0.44,652,51,56,2200000,5100000,2000000,1110,2400,940,0.0575,0.005,0.0051,31.6,4.3,4.7,0.00331,0.0006,0.00056,0.00358,0.00061,0.0006,0.00376,0.00073,0.00069,0.047,0.021,0.011,0.552,0.067,0.074,0.501,0.072,0.079,0.63,0.14,0.25,0.0196,0.0077,0.0086,1.01,0.8,0.56,30.1,12,9.8,81,25,19,17,38,16,1.800865,2.00E-05,1.90E-05,4.61,0.52,0.92,11,30,10,0.041,0.014,0.012,2455448.146,0.079,0.062,2455463.952,0.077,0.06,2455432.341,0.078,0.062,1,0,0,0.021,0.054,0.017,0.0298,0.0053,0.0035,0.0334,0.0058,0.0039,0.265,0.17,0.089,0.278,0.073,0.083,0.408,0.27,0.096,0.275,0.087,0.17,1.83E-05,3.10E-07,3.20E-07,1.000163,4.30E-05,4.10E-05,6.16E-05,7.70E-06,6.80E-06,1.00052,0.00057,0.00056
OGLE-TR-1009,BLG501.22.131144,50:56.7,-29:40:49.1,267.73625,-29.68030556,14.155,0.004,15.146,0.004,36.99260578,0.996,4.19,0.56,0.52,2.185,0.098,0.094,2.29,0.14,0.13,940,440,350,2.99E-09,8.10E-10,7.70E-10,0.568,0.033,0.035,4.382,0.027,0.03,21600,1800,2100,21200,1900,2200,-3.13,1,0.57,0.094,0.033,0.026,388,16,30,0.622,0.055,0.057,3.183,0.067,0.075,9.4,1.4,1.1,0.316,0.031,0.027,3160,300,280,29.549047,6.80E-05,6.60E-05,2.218,0.099,0.096,0.4068,0.0054,0.011,0.0003883,5.20E-06,1.10E-05,2455398.177,0.0035,0.0035,2456609.688,0.0022,0.0022,0.302,0.013,0.013,89.8,0.14,0.21,2800,230,260,140,23,20,10.21,0.95,0.83,0.1043,0.0015,0.0016,29.71,0.56,0.63,0.01088,0.00032,0.00032,0.01141,0.00037,0.00036,0.01151,0.00045,0.00044,0.03325,0.0012,0.00076,0.3472,0.0056,0.0056,0.3137,0.0052,0.0052,0.102,0.11,0.071,0.0034,0.0037,0.0024,488,49,56,863,43,48,1025,40,42,0.0459,0.0065,0.0056,1.47054347,1.00E-06,9.70E-07,2.309,0.039,0.038,0.0262,0.0036,0.003,14,5.3,4.5,2455383.402,0.0035,0.0035,2455420.338,0.0034,0.0035,2455405.564,0.0034,0.0035,1,0,0,9.20E-05,1.30E-05,1.10E-05,0.03015,0.00067,0.00058,0.03717,0.00079,0.00067,0.093,0.048,0.046,0.204,0.05,0.05,0.113,0.05,0.049,0.27,0.05,0.05,6.34E-06,1.60E-07,1.60E-07,1.000199,3.10E-05,3.10E-05,3.90E-06,1.20E-06,1.10E-06,0.99977,0.00023,0.00023
OGLE-TR-1010,BLG501.13.26254,51:30.9,-29:55:45.2,267.8786667,-29.92922222,14.519,0.005,15.718,0.006,51.76325272,1,0.826,0.039,0.039,1.711,0.14,0.095,1.851,0.13,0.097,6.03,0.99,0.82,6.70E-11,8.10E-12,7.40E-12,0.232,0.047,0.05,3.888,0.056,0.072,6900,260,270,6670,230,260,-4.437,0.13,0.076,10.2,1.8,1.5,444.8,5.5,4.5,-0.083,0.02,0.021,3.33,0.46,0.74,9.6,1.4,1.1,0.59,0.029,0.031,1695,96,80,2.2063895,2.30E-06,2.20E-06,1.39,0.14,0.092,0.87,3.4,0.48,0.00083,0.0032,0.00045,2455377.425,0.0015,0.0015,2456626.241,0.00085,0.00084,0.03116,0.00048,0.0005,83.9,3,2.8,2470,88,81,0.014,0.074,0.01,152,590,84,0.0836,0.0016,0.0013,3.91,0.25,0.31,0.00699,0.00026,0.00022,0.00766,0.00021,0.0002,0.00805,0.00027,0.00026,0.0171,0.0037,0.0024,0.1826,0.0035,0.003,0.1651,0.0022,0.0022,0.42,0.14,0.19,0.107,0.048,0.052,977,120,83,1630,160,110,1900,170,120,0.41,1.9,0.27,0.34368217,4.40E-07,4.30E-07,3.05,0.73,0.44,0.047,0.19,0.028,8.5,1.3,1.1,2455378.528,0.0015,0.0015,2455379.08,0.0015,0.0015,2455377.976,0.0015,0.0015,1,0,0,0.001,0.0039,0.00055,0.234,0.02,0.014,0.277,0.024,0.017,0.218,0.048,0.048,0.312,0.049,0.049,0.329,0.052,0.051,0.306,0.05,0.05,1.21E-05,2.40E-07,2.30E-07,1.000355,3.80E-05,3.90E-05,1.89E-05,2.80E-06,2.50E-06,0.99975,0.00036,0.00036
